ID,SP,L,W,Wb,A,W10,W25,W50,W80,W90,dW,BS,Hs,Mu,LBs,P,H,D,S,Sl,Sw,St
VE61,macrocarpa,14.73,1.77,0.9,21.913,1.55,1.77,1.63,1.2,0.86,3.18,0.05,0.65,0.34,0.64,41.835,12.62,13.97,3,7.84,4.03,4.79
VE62,macrocarpa,14.82,1.65,1.35,24.376,1.78,1.93,1.62,1.17,0.78,3.31,0.03,0.58,0.5,0.6,48.465,12.07,12,2,8.3,5.02,4.31
VE63,macrocarpa,12.32,2.02,1.14,21.918,1.82,2,1.84,1.33,0.93,2.78,0.05,0.55,0.27,0.75,42.885,14.67,12.81,3,7.52,4.81,4.97
VE64,macrocarpa,13,1.84,1.24,20.748,1.75,1.81,1.57,1.17,0.83,2.34,0.05,0.52,0.39,0.65,39.534,12.97,12.93,4,7.22,3.82,4.15
VE65,macrocarpa,11.79,1.71,1.02,16.221,1.38,1.63,1.54,1.08,0.79,3.8,0.05,0.56,0.21,0.53,30.937,14.42,12.95,3,7.41,4.62,4.75
VE71,macrocarpa,9.57,2.4,1.45,20.672,2.12,2.35,2.18,1.37,0.93,3.12,0,0.48,0.34,0.8,35.241,11.52,10.58,3,6.51,3.15,2.98
VE72,macrocarpa,11.86,1.65,0.73,17.951,1.33,1.61,1.57,1.16,0.87,3.34,0.05,0.46,0,0.55,33.531,12.02,11.65,3,6.21,2.85,3.91
VE73,macrocarpa,10.74,1.96,1.16,19.42,1.68,1.94,1.75,1.31,0.9,2.78,0.07,0.54,0,0.62,31.393,11.28,9.62,2,5.65,2.47,3.6
VE74,macrocarpa,9.48,2.03,1.42,16.6,1.84,1.99,1.78,1.23,0.88,2.83,0.05,0.52,0.26,0.63,27.628,10.7,11.47,3,5.63,3.49,3.46
VE75,macrocarpa,10.33,1.16,1.07,11.948,1.11,1.15,1.04,0.79,0.65,2.22,0.02,0.37,0,0.4,29.02,12.08,11.85,2,7.23,4.71,3.57
VE81,macrocarpa,14,1.67,1.03,23.134,1.3,1.62,1.65,1.18,0.77,5.57,0.05,0.56,0.24,0.61,40.774,14.37,15.46,3,8.06,4.59,3.83
VE82,macrocarpa,14,1.75,1.12,22.646,1.56,1.72,1.71,1.17,0.82,4.35,0.04,0.53,0.32,0.6,46.521,12.81,14.06,3,7.25,3.41,3.82
VE83,macrocarpa,12.07,1.72,0.93,18.29,1.4,1.64,1.6,1.2,0.87,2.87,0,0.34,0,0.57,37.583,12.26,12.87,3,6.49,3.6,3.65
VE84,macrocarpa,13.53,2.07,1.54,25.008,1.87,2.02,1.87,1.35,0.92,4.18,0.07,0.6,0.25,0.71,44.261,12.84,14.04,3,6.47,4.61,3.23
VE85,macrocarpa,12.73,2.17,1.43,24.045,1.85,2.14,1.97,1.46,1.09,3.47,0.06,0.71,0.23,0.78,35.576,14.45,14.46,3,7.27,4.77,3.58
VE91,macrocarpa,12.96,1.67,1.34,18.676,1.63,1.63,1.53,0.96,0.53,1.66,0.08,0.64,0.87,0.48,34.105,10.92,12.65,5,6.02,4.39,2.84
VE92,macrocarpa,15,1.9,1.22,23.34,1.71,1.88,1.69,1.04,0.59,3,0.05,0.65,1.17,0.62,41.646,12.59,12.61,5,6.68,3.86,2.94
