"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
0.1009	0.0992	10.6111	21.1925	0.0977
0.0966	0.1015	0.0963	0.0968	12.0329
0.1023	11.187	0.0926	0.0996	0.1012
27.1009	16.7278	0.0977	24.3704	0.1001
0.1033	0.1017	8.6322	19.8227	0.0985
0.1034	0.0966	0.1011	0.105	14.4874
30.5504	0.0973	0.101	23.0772	0.0959
0.1029	0.0949	13.6923	28.6859	33.7362
28.5027	0.1008	12.158	0.1002	0.0983
0.0959	18.296	0.0984	0.0928	16.3304
29.1038	15.9085	10.561	0.1019	0.0957
0.0977	15.4746	0.1002	17.6999	0.0893
22.1838	15.5942	0.0956	0.0982	19.2223
28.3707	0.098	9.232	0.0997	0.0973
30.8853	18.0188	12.734	0.1037	0.1027
0.0948	15.2423	13.1405	0.0967	24.5542
0.1007	0.1027	0.0969	0.0946	13.273
0.1043	15.6293	0.1074	0.0999	16.3195
29.811	0.1035	8.9614	0.1024	0.0982
0.1028	0.0898	0.096	16.0236	0.0961
0.0988	19.6919	15.5834	31.7195	39.1293
23.4645	0.0991	0.0966	0.0934	17.9364
31.4339	15.3646	12.119	0.0989	0.0972
0.0974	16.1864	10.3597	19.3826	0.1022
26.7725	18.0871	11.8233	0.0998	0.0945
26.4002	0.095	9.3494	0.098	0.0982
29.2181	0.0992	11.3607	21.7941	0.0983
0.0955	0.093	0.1005	0.0986	13.133
0.0998	0.0988	15.8394	31.2826	40.6104
0.0998	15.5566	0.0979	0.0881	16.2345
24.2676	17.5786	0.0967	0.1004	21.2084
0.102	0.0971	6.8285	0.1035	0.1044
26.0059	17.2982	14.1702	0.0958	23.6468
30.226	16.3835	11.7273	0.105	0.0927
22.8341	0.0981	0.0929	0.0963	16.8955
29.5401	0.0984	0.0977	21.5884	0.1006
0.1003	0.0965	8.1468	0.1028	0.0993
28.8588	0.0927	0.1017	33.6707	21.8461
0.0959	14.9413	0.097	19.1976	0.0937
0.1041	0.099	6.9814	0.0941	0.0994
23.9774	0.101	0.1045	20.6827	0.0997
0.102	0.1009	0.0968	16.9706	0.1007
0.1004	14.4463	0.1023	15.4394	0.1023
30.1342	0.0993	18.2709	30.4008	41.0939
27.5966	0.1009	9.2164	0.1011	0.0966
21.7127	0.0975	0.1064	0.1097	0.099
31.7583	0.102	0.1002	23.5789	0.1012
0.1004	0.1023	10.2262	22.816	0.1026
0.0978	18.8307	11.6352	21.0545	0.0926
0.1001	15.7066	0.098	0.0971	16.6826
0.1021	15.3205	9.3812	21.3607	0.1013
0.1056	13.7236	0.0908	0.0947	0.0934
0.0935	17.2793	8.1932	0.0947	0.106
0.101	0.1046	6.9421	0.0974	0.1059
31.2105	18.3497	0.1007	25.9874	0.0978
32.681	20.0864	0.0996	36.1809	26.9789
29.5834	17.848	14.6801	0.1038	25.417
24.0975	0.096	0.0961	0.0891	15.7903
0.0974	17.8129	0.099	19.4942	0.096
0.0999	13.1768	0.1025	0.0935	0.0997
31.781	17.7229	11.4009	27.1188	0.0965
30.0454	16.4352	0.092	28.4836	0.1003
0.094	18.1351	14.1909	0.0977	24.8175
0.1022	17.018	0.1003	16.965	0.0911
29.5916	13.6147	10.1387	0.0923	0.0999
32.5077	0.0997	11.1618	24.9685	0.097
0.0964	18.4038	0.1034	21.7367	0.0976
27.3136	17.4354	11.8403	0.0989	0.1008
29.6387	0.0993	15.3287	0.1023	25.6271
0.0996	15.7343	0.0947	16.2236	0.0987
0.102	15.6517	0.102	31.5164	23.7667
29.645	0.1017	17.2356	32.4796	44.0613
24.74	0.1033	15.5573	0.0961	29.2805
0.1038	13.54	0.097	0.0966	0.1003
29.6516	16.7063	10.4327	0.0928	0.0961
32.2458	17.5262	0.0977	32.3848	21.8653
0.0957	17.8114	9.2564	18.1332	0.0986
23.5603	0.1035	0.094	0.0955	18.2848
27.9951	0.0976	0.097	0.0969	19.8377
18.0537	0.1031	0.1045	0.093	0.0982
26.6307	0.1048	0.0974	21.2168	0.0999
0.0944	13.9962	0.0963	17.0834	0.0955
32.7294	14.4997	0.0925	27.6011	23.9026
0.0992	0.1021	14.8789	0.095	27.0884
0.0959	19.9093	10.6014	23.1438	0.0977
0.0996	0.1017	17.4643	30.578	37.1338
27.1216	0.0999	0.0974	19.9382	0.0976
26.1354	0.097	0.0972	0.0927	18.4027
0.0977	15.8336	14.7057	0.1037	30.6198
30.119	0.0988	0.0944	32.3182	28.2088
0.0938	0.0983	14.0457	28.8988	33.183
0.0933	14.8529	0.099	0.0991	0.094
32.2039	21.8763	0.1042	26.8381	0.0964
30.2933	14.3913	0.0997	19.8013	0.094
0.0989	0.0966	6.7339	0.0969	0.1054
0.1	14.8344	0.0978	0.0975	0.0998
27.053	0.0979	14.6845	0.0963	24.0788
0.0997	0.0985	5.4586	0.1036	0.1005
0.1009	0.0953	13.3162	29.3155	32.9612
0.1063	16.35	0.0964	28.6074	25.139
0.1006	0.1036	10.6307	21.3809	0.1001
0.0993	15.5663	10.1439	19.1986	0.1031
0.1052	16.1397	0.1011	0.0995	11.7763
0.1009	0.1002	15.5226	33.5004	41.051
0.0959	17.8447	15.5736	35.8507	39.8098
0.1001	16.2777	0.0973	24.3206	19.9608
0.0984	0.1026	7.518	0.0976	0.1013
32.0541	0.1011	16.1456	30.3786	32.089
34.0618	16.179	11.7253	24.3304	0.0998
31.7033	0.0997	8.9274	20.6787	0.0994
32.3945	0.098	0.096	29.33	24.9418
0.0937	20.0635	16.2211	26.031	35.7742
0.0938	16.2574	9.8236	0.0964	0.1029
41.7409	18.4339	12.5073	27.9101	0.1033
0.1015	0.0946	0.0974	0.1015	10.6378
0.1031	11.8269	0.106	0.0959	0.1021
30.5536	0.1026	10.1078	23.4305	0.104
0.0998	16.7289	0.0985	19.0531	0.0939
21.7102	0.1034	0.0996	0.0962	0.1004
0.0955	0.1029	7.9488	0.1047	0.0975
30.0253	16.5353	0.0998	29.3111	26.9987
32.8933	0.0983	15.714	32.098	39.6286
0.0993	16.6286	12.3419	21.8727	0.0956
29.8916	0.1032	0.1001	0.0934	17.9588
21.707	16.5517	0.0983	0.0948	17.6475
