"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
11.5117	1.7572	0.7943	-0.5676	1.8685
0.0312	0.0012	-0.4905	-0.4758	-0.9387
0.3847	0.5777	1.5085	1.3858	0.2464
-0.0822	0.1142	0.5597	0.5985	0.2262
-0.1297	1.2611	1.1554	1.1041	1.2195
-0.208	0.2611	0.1953	0.0149	1.1846
-0.2529	0.9253	-1.5621	-1.4093	-1.3561
-0.0732	1.084	-0.4169	-0.3621	-1.0444
-1.4194	-0.4143	-1.3512	-1.3957	-0.0524
-0.8547	-0.3964	-0.4431	-0.468	0.1663
0.6996	-0.0165	1.4138	0.832	1.0478
-0.3277	-1.8487	0.3052	0.2409	-0.5465
-0.0272	-1.4218	1.3138	1.0769	-0.4514
0.174	-1.0236	1.1106	1.0501	0.3696
-0.4917	-1.182	0.0606	-0.0627	0.1315
-0.299	-0.5624	0.9556	0.5022	0.8672
-0.3202	-1.2654	1.1509	0.9829	0.7794
-0.4167	-0.9078	0.4367	0.1417	0.6666
0.1333	1.0107	-0.3014	-0.327	0.0614
0.174	1.344	0.0423	-0.0452	-0.1874
0.6304	-0.1577	0.7207	0.147	1.5163
0.6404	-0.1651	0.7952	0.7417	0.4321
0.1757	-0.5483	0.6748	0.664	0.4568
-0.7757	0.2783	-1.3317	-1.3434	-0.2305
-0.2304	-0.0465	0.6052	0.5652	0.2636
0.3809	0.4459	1.9135	1.9217	0.4271
-0.1518	-0.5359	-0.5841	-0.5177	-0.1541
-0.2903	-0.3396	-0.9992	-1.0113	-0.3826
-0.238	-0.6186	0.3922	0.6248	1.884
-0.0529	0.0283	0.5702	0.6624	0.152
0.1296	0.6547	0.214	0.0361	0.8628
-0.7788	-0.2935	-0.2844	-0.5525	-1.007
-1.5025	1.0693	-0.3423	-0.3795	0.5504
-0.4696	-0.8344	-0.7414	-0.6658	-1.8108
-0.162	-0.2788	-0.4613	-0.5225	-1.0984
0.113	-0.6654	-0.4652	-0.4666	-0.8595
1.0518	0.1326	1.9049	1.7489	1.191
0.9474	-0.1101	1.8506	1.725	1.1302
-0.8406	0.0151	-2.1791	-2.2215	-0.627
0.0623	1.022	1.3396	1.1145	-0.6988
0.2607	1.173	-0.048	0.0313	0.0427
