"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
3.8608	0.1019	0.0916	0.9571	0.0986
0.0929	0.1002	0.1637	0.0965	0.0968
0.1011	0.5481	0.0858	0.0844	0.0998
0.5383	0.5819	0.0935	0.0836	0.5173
0.0968	0.5592	0.1838	0.094	0.0947
0.6201	0.0945	0.0767	0.082	0.0976
0.0983	0.5667	0.0949	0.1753	0.0928
0.5586	0.0957	0.6566	0.6476	0.0907
0.0961	0.0965	0.1851	0.092	0.4269
0.097	0.4745	0.0986	0.1868	0.0987
0.5788	0.5859	0.0982	0.2921	0.0994
0.0951	1.2749	0.0875	0.0841	0.4104
0.5281	1.325	0.0995	0.1711	0.0955
0.0975	0.5628	0.1751	0.0942	0.1002
0.4571	0.5027	0.0974	0.1717	0.0948
0.4264	0.4371	0.0887	0.0832	0.4365
0.0985	0.0933	0.1576	0.0973	0.1011
0.0992	0.4247	0.088	0.0817	0.4465
0.4528	0.0946	0.0816	0.0818	0.4759
0.0955	0.0942	0.0969	0.152	0.0996
0.0923	0.6376	0.626	0.6826	0.5421
0.1011	0.1013	0.2892	0.0988	0.475
0.1005	0.5447	0.3023	0.1033	0.4965
0.554	0.6023	0.185	0.0989	0.1016
0.5284	0.5561	0.0882	0.087	0.4988
0.5312	0.1007	0.0864	0.0822	0.5263
0.447	0.5625	0.1735	0.1072	0.0971
0.1016	0.5169	0.0814	0.0836	0.0926
0.1004	0.5601	0.2169	0.0966	0.5199
0.0968	0.4964	0.0819	0.0797	0.5335
0.5422	0.6225	0.0826	0.0877	0.5137
0.5385	0.0928	0.0825	0.0845	0.0985
0.0957	0.5387	0.6227	0.6064	0.4819
0.5668	0.5872	0.0934	0.1841	0.0952
0.4996	0.0935	0.1587	0.0969	0.0983
0.0996	0.1	0.1008	0.1556	0.4291
0.0929	0.1023	0.0937	0.1697	0.0943
0.482	0.0952	0.5344	0.5537	0.0972
0.0953	0.5132	0.087	0.0878	0.5753
0.099	0.094	0.0897	0.0893	2.3127
0.506	0.0939	0.0883	0.0873	0.4564
0.092	0.0913	0.1018	0.162	0.092
0.0947	0.4658	0.0851	0.0922	0.3978
0.4338	0.0918	0.5534	0.548	0.4282
0.0927	4.4367	1.1119	0.0959	0.0994
0.0935	0.0908	0.0989	0.2	0.1002
0.0915	0.0996	0.1023	0.1614	0.5477
0.099	0.0915	0.618	0.6709	0.0896
0.0971	0.4696	0.1852	0.0954	0.4358
0.0962	0.4689	0.0894	0.1573	0.0939
0.4911	0.4884	0.093	0.1728	0.0962
0.0937	0.0963	0.0796	0.084	0.4072
0.0996	1.4052	0.0986	0.204	0.0902
0.0989	0.0934	0.1652	0.0957	0.0958
0.5429	0.559	0.0964	0.1803	0.0936
0.5284	0.6165	0.096	0.1921	0.5462
0.5122	0.5459	0.0976	0.1913	0.5177
0.5218	0.1024	0.2842	0.1009	0.0968
0.0937	0.4202	0.0971	0.1699	0.0924
0.1014	0.0973	0.0946	0.1741	0.0947
0.6498	0.664	0.757	0.7642	0.096
0.566	0.1005	0.6988	0.6903	0.1009
0.0968	0.5584	0.1827	0.1008	0.5035
0.0939	0.5585	0.0951	0.0883	0.4749
0.0936	0.5363	0.505	0.4837	0.0965
0.5318	0.1029	0.0981	0.1796	0.5223
0.1015	0.4523	0.088	0.0843	0.3882
0.4281	0.465	0.1582	0.0977	0.0996
0.4328	0.0965	0.1708	0.0913	0.4426
0.0898	0.097	0.1007	0.1634	0.4411
0.0967	0.608	0.2275	0.101	0.6407
3.4935	3.9915	1.3873	0.1004	1.507
0.5174	0.0958	0.1775	0.0947	0.495
0.0891	0.1014	0.0849	0.0838	0.4713
0.5529	0.5488	0.0932	0.171	0.0975
0.5682	0.5632	0.1901	0.0946	0.5015
0.1012	0.4854	0.5252	0.5795	0.1034
0.0976	0.0965	0.0952	0.2895	0.4359
0.4603	0.0945	0.0943	0.1716	0.102
0.0978	0.0931	0.1755	0.1004	0.1023
1.8562	0.0932	0.2207	0.096	0.095
0.0948	0.5947	0.0995	0.1882	0.0948
0.4742	0.4799	0.0976	0.1794	0.4068
0.0949	0.4838	0.1713	0.0993	0.101
