"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
-1.2123	1.0503	-0.0772	2.0522	-2.6086	20.8712	-10.2828	7.2575	-14.4393	-10.5091	-7.9052	-5.7224	-1.2743
1.0924	-1.2267	-1.8481	0.3887	2.3742	-8.4614	0.7839	2.0987	2.5933	-0.2549	3.7216	3.8601	1.3239
1.0299	0.5415	0.2016	0.783	5.2351	4.2782	5.8765	-0.5322	-0.1341	0.8445	-10.9416	1.3897	-0.2189
-0.8518	0.6477	0.5415	0.3665	8.1245	0.2849	4.9826	-0.5875	0.3017	-2.644	-4.532	1.2815	-0.773
0.6241	-4.2835	-1.4017	0.8577	-5.8953	0.4362	1.7239	6.5448	4.1274	4.0707	3.6372	-4.3028	4.5162
0.6987	-0.5592	0.8674	1.4881	-2.2244	1.4727	0.3873	3.4534	1.8727	1.8701	-0.4446	-0.2102	0.2212
0.1133	-1.6406	-0.2752	1.0387	-1.9341	0.5777	0.4391	3.2401	1.8996	1.4537	0.3058	-1.6601	0.185
0.6237	0.2067	1.2919	0.9836	-1.4035	1.4379	0.0838	3.0623	1.4681	2.0387	-1.1846	-0.4213	-0.6641
-0.7675	-0.3189	-0.4196	-0.4136	9.9909	4.2797	6.7209	-0.082	-0.6205	4.9427	-10.9863	-4.2067	-4.7087
0.4834	-0.011	-0.0112	-0.1399	-2.5458	-2.1383	-0.2901	-2.6392	2.3985	0.4566	0.0682	1.2503	-0.9166
-0.8201	0.7471	0.8499	0.0713	2.3191	2.3275	1.353	0.5425	-1.3201	-0.7464	-2.7628	-0.9751	0.3196
-1.3035	-0.4277	-0.5183	-0.9206	-0.6605	1.8309	-1.798	-0.7827	-1.4537	-1.5206	-0.8338	-3.5377	-1.9698
-1.7266	0.4176	0.7111	0.7085	-2.3718	4.4551	-0.4544	-1.5003	-1.9628	-3.7576	-2.7547	-1.1663	1.8694
-0.288	1.4884	1.1921	1.4337	8.3165	1.5609	4.7868	-1.0678	-0.3748	-3.5631	-5.4959	3.9676	-0.7528
-0.1614	0.5224	0.6241	1.0259	-1.3104	3.6975	-1.6385	-0.5667	-1.7356	-2.1644	-1.4747	0.5795	-0.9261
-0.2833	0.3375	0.4804	0.4246	-1.4601	3.3811	-1.6738	-0.269	-1.515	-1.6097	-1.2098	-0.5343	-0.8992
0.494	-0.39	-0.5501	-2.2457	5.5325	-7.4253	5.0379	-1.9795	5.0642	4.1628	0.1605	0.8647	-2.0038
-0.6649	0.7689	0.7581	1.3198	-3.2456	1.5462	-1.3734	-7.7548	1.8731	0.9453	-3.0648	0.4627	-5.9139
0.3871	-0.2617	0.6755	0.498	-0.9332	0.8502	0.2534	2.7446	1.4284	1.9879	-1.2899	-1.3082	-1.1079
-0.9839	0.8926	1.0391	0.4332	2.0851	2.4373	1.0321	0.426	-1.3148	-1.0986	-2.7421	-0.8365	0.1103
-0.7268	0.6102	0.7007	0.3662	2.5096	2.604	1.5144	0.4501	-1.3907	-1.0884	-2.8941	-0.5903	0.3463
1.2642	-0.2999	-0.2036	-0.4413	1.2514	0.5994	0.393	2.1719	0.5269	1.6154	-1.9185	-0.4092	-2.1634
1.0134	-0.0607	0.0653	0.5872	1.1754	0.806	0.144	1.5326	0.2926	0.5026	-2.0327	0.8644	-2.3245
0.9575	-0.1243	-0.0079	0.7802	1.2522	0.9662	0.2124	1.3443	0.1533	0.3295	-2.1083	1.0696	-2.2916
1.0136	-0.9567	-0.9456	0.4443	1.5535	0.4386	0.4451	1.3677	0.1468	0.1621	-1.5259	0.5824	-2.0821
0.8641	-0.4904	-0.3651	0.9494	1.3582	0.7676	0.2779	1.3567	0.2094	0.003	-1.8421	1.0095	-2.2408
-0.0167	0.3509	0.5909	-1.3724	4.951	1.6055	1.5982	6.3809	-1.4571	0.1095	0.0602	-2.902	1.2248
-0.7876	1.3082	0.9603	-0.4902	0.4409	24.2797	6.3297	-6.8538	-14.12	-4.1216	-27.6094	-3.45	2.0931
-0.7943	0.2614	0.0113	1.4771	3.3532	2.5021	1.2773	-0.6527	-2.0695	-3.1146	-2.9301	1.5406	-0.1164
2.0209	-0.739	-0.7728	-1.2134	1.4304	0.8128	0.7347	2.6777	0.3369	2.3087	-1.6212	-0.6889	-1.6125
-1.7955	-0.0004	0.0109	-0.1812	-0.7402	1.8612	-1.9485	-1.1428	-1.4299	-2.0907	-0.9523	-2.9625	-2.0837
-1.4183	-2.1168	-1.904	-0.9227	-0.8985	-0.2277	-0.8328	1.8182	-0.4274	-0.3333	2.6056	-5.0613	1.0948
-0.0273	0.4442	0.6121	1.2956	-18.1888	12.8456	-8.4887	-4.8977	-7.5762	-2.3359	2.9516	1.272	7.6575
0.4945	0.6183	0.6172	1.1826	-17.7895	13.3267	-8.4055	-4.8977	-7.9229	-2.2135	2.4884	2.0609	7.6681
