"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
0.0947	0.1006	0.1049	0.5346	1.7973	3.4275	3.4517	3.6621	2.3221	3.0231	2.3368	4.2287	5.426
0.0922	0.258	0.0959	0.0965	1.7035	2.3334	1.9256	1.7868	1.3574	1.5122	2.4093	1.8368	2.3414
0.0999	0.2723	0.0925	0.4341	1.713	2.1648	2.1264	1.7618	1.3562	1.6771	2.1507	2.2732	2.3691
0.5108	0.1034	0.2927	0.0939	1.7027	2.2504	1.6154	1.6619	1.3071	1.4214	2.2704	1.7008	1.5837
0.0944	0.3082	0.0981	0.0942	4.6225	3.4242	3.0428	2.3291	2.2531	3.1454	6.9392	2.7292	5.5203
0.0885	0.1033	0.2993	0.509	2.9354	2.6935	1.8762	1.9434	2.2611	1.3564	3.1168	1.2897	2.0719
0.6087	0.2772	0.0915	0.5116	1.7959	2.7364	1.2389	1.4961	2.1209	1.4567	2.0657	1.6326	1.5203
0.1016	0.3013	0.0958	0.0967	1.7437	2.4175	1.5122	1.172	1.697	1.4403	1.7765	1.9058	2.5879
0.0971	0.3139	0.0984	0.4895	2.7832	3.4568	1.922	1.4756	2.3065	1.8333	2.2241	2.4002	2.3646
0.0902	0.0926	0.3005	0.0964	7.2392	4.5335	3.2894	2.9674	1.9763	2.1118	2.8362	2.3161	4.0048
0.0973	0.0929	0.2422	0.0976	1.649	2.3224	1.4853	1.1674	1.8178	1.7245	2.0116	1.2585	1.7596
0.4915	0.0905	0.0981	0.0979	1.6568	2.5231	1.5878	1.0077	1.7169	1.6148	1.8285	1.4318	1.8424
0.0901	0.0987	0.3075	0.0918	5.304	7.3192	5.4393	2.5366	5.8754	5.74	6.0492	2.714	2.578
0.0947	0.3206	0.0889	0.0941	3.4947	2.3241	3.1265	3.9351	1.3992	2.3405	3.9123	2.6616	7.0353
0.568	0.0964	0.0939	0.0938	1.6363	2.1653	1.8796	1.569	1.2362	1.5364	2.4199	1.7918	1.4479
0.0925	0.278	0.105	0.4338	1.948	2.7558	1.2886	1.4944	2.2404	1.3781	2.0583	1.4038	1.5709
0.0924	0.0882	0.284	0.0978	1.9202	2.8119	1.2873	1.4701	2.2378	1.247	2.1267	1.2602	1.4426
0.1003	0.3027	0.1097	0.0909	1.8948	1.9812	1.6377	1.4954	1.2151	1.2845	3.0226	1.4447	1.3554
0.1015	0.26	0.0959	0.4545	1.9172	1.7019	1.5485	1.5647	1.3506	1.224	3.0496	1.1872	1.3936
0.5166	0.0929	0.0913	0.0986	1.8394	1.6554	1.5105	1.5297	1.199	1.0886	3.0162	1.1451	1.331
0.4983	0.2506	0.0944	0.0952	2.0478	1.6299	1.8542	1.532	1.3095	1.1321	3.1447	1.4439	1.4416
0.5037	0.0926	0.0914	0.0978	1.9625	1.5093	1.7008	1.5632	1.2009	1.0931	3.0371	1.3041	1.2918
0.6714	0.0907	0.0969	0.0962	4.6094	2.3538	2.7343	5.1623	1.6812	2.5749	2.9523	2.8669	2.7304
3.8691	0.0938	0.0976	3.4487	8.721	21.3516	7.9635	9.269	8.5871	4.8034	19.7076	9.0015	7.4009
0.6108	0.0954	0.0888	0.0972	1.9564	2.0305	1.4107	1.2394	2.4535	1.7846	2.5593	1.5307	1.5043
0.1024	0.5551	0.5683	0.0954	1.9519	2.202	1.5581	1.7101	1.3999	1.429	2.8337	1.6068	1.4276
0.1001	0.0877	0.0927	0.5414	1.7208	2.2532	1.5998	1.2294	1.9068	1.5759	1.8712	1.7096	2.454
0.0941	0.0949	0.2951	0.5554	2.9209	2.0272	1.5692	1.6284	1.2658	2.1924	2.1834	2.4095	2.7535
0.0943	0.0891	0.091	0.5122	8.8074	13.2955	3.6775	4.5693	7.7101	2.5995	7.5225	3.5174	5.6128
