"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
3.547	1.7472	2.0775	-0.8591	1.8519
0.0438	0.0056	-0.3238	-0.4549	-0.4626
0.3932	0.5212	1.5024	1.3649	0.2344
-2.29	-0.3777	0.5639	1.3889	0.2321
-0.1219	1.583	1.1536	-0.2476	1.2157
0.5513	0.2695	0.181	0.0185	0.344
-2.0553	1.0996	-1.5439	-0.2486	-1.3524
-1.2272	1.074	-0.87	2.0123	-2.802
0.6223	-0.4074	-0.5799	-1.3777	0.0792
-0.8443	-1.0057	-0.4145	-0.3194	0.9567
-0.0912	-0.3719	1.4007	1.0951	1.0091
-0.319	-0.341	0.2549	0.2924	-0.45
1.3326	-0.4261	1.3347	1.2811	-0.5339
0.2537	-0.3586	0.5999	1.0437	0.3909
0.9853	-0.4172	-0.4744	0.1221	0.1072
-0.5238	-2.2217	-0.3289	0.3371	0.2218
-0.3202	-1.2591	0.8208	0.9693	0.9605
-0.4087	0.4708	0.4718	0.1101	1.8327
0.2789	1.0165	-0.0163	-0.3168	0.3457
0.1664	1.3266	0.0548	-1.5334	-0.2107
0.6297	0.8908	0.0034	-1.0107	-0.7263
-0.7556	-0.1519	0.8395	0.7366	1.5523
0.8485	-0.779	0.39	0.6652	-0.3623
0.0434	0.6158	-0.4918	-1.4822	-0.2325
-0.6239	-0.2646	0.2696	0.5659	0.3417
0.6528	0.4539	1.8618	1.9347	0.4138
0.0223	-0.7295	-0.0276	0.9085	-0.1357
-0.285	-1.4289	-0.9863	-1.0188	0.1025
-0.2319	-0.3304	-0.7	-1.3559	-0.1204
-0.0475	0.649	0.5545	0.6618	0.4423
0.8907	-0.8323	0.2283	0.0147	0.1415
0.1099	-0.3028	-1.1	-0.6285	-1.0096
0.0839	-0.1854	-0.757	-1.7031	0.6434
-0.7098	-0.6892	-0.821	-0.6642	-1.8099
-0.1691	-0.2744	-0.4794	-0.5057	-0.3653
-1.2201	-0.6592	-0.4626	2.7251	-1.0847
1.0496	0.1395	1.8986	1.6667	1.1822
-1.2946	-0.1119	2.3927	0.6639	4.0608
-0.8326	0.5206	-2.1126	-2.5999	-1.2648
0.0609	1.005	1.8122	1.1164	1.6062
1.8003	1.1885	-0.1241	-2.3798	0.5071
0.7657	0.4604	0.4734	1.373	-1.0532
0.9071	-0.7504	-0.1386	0.7229	-1.6333
1.3307	0.8699	1.2839	0.275	2.1319
-0.9743	-1.1716	0.7391	1.2217	1.9885
-2.4078	1.0931	-1.2753	-1.835	1.7058
0.9161	1.0005	0.5502	0.4269	0.7514
0.9143	-0.6472	0.9071	1.8023	0.357
-0.7405	-0.9468	-0.1744	1.6149	0.9573
0.6833	1.2673	1.0759	0.8647	0.7222
-0.3251	1.1423	1.0633	-0.196	1.8909
1.3918	-0.1249	0.3032	0.3539	0.9162
-1.1081	-0.9635	-0.6515	-0.4508	-0.4072
0.4973	0.4744	0.2173	-0.1758	-0.086
3.8369	1.7924	0.6941	-1.9788	-0.2488
1.0311	-0.7508	-0.6366	-1.1179	0.1313
-1.9572	-1.4453	-0.7356	0.6598	-1.0136
-0.3494	-0.2673	1.5283	1.5116	1.916
0.3336	0.0598	0.5274	-0.8854	0.9923
0.3229	0.8226	0.3451	0.4508	0.4068
-1.2442	0.8392	-1.2409	-0.0844	-2.1998
-0.9298	0.3334	0.7017	0.3496	1.2708
0.7708	-0.7108	-0.2104	0.699	-0.584
0.6583	0.3667	0.9506	1.2991	0.1193
-2.9821	-0.5932	-0.4508	0.621	0.3387
-0.2446	1.2406	-0.2427	-0.8712	-0.432
-0.1249	0.0809	0.021	0.4125	0.4351
0.539	-0.297	-0.4812	-0.0428	0.7598
1.4636	-0.2792	0.8377	-0.9716	0.9057
-0.0022	-1.4272	-0.4941	-0.0812	0.918
1.5678	1.0666	0.3539	-1.5256	1.1533
-0.8909	-1.1322	-0.508	2.263	-2.5889
-3.1864	-1.9148	-0.7678	-0.0636	0.7719
0.9667	-0.5096	0.9541	0.8475	-1.1842
-4.112	0.432	-0.2179	-0.0332	0.5877
-1.3484	1.041	-2.1512	-0.0491	-3.0303
1.226	0.9169	1.311	0.5364	1.5724
1.0186	0.4961	0.6293	0.5859	-0.3418
0.1614	-0.3526	-0.5877	-0.2817	-1.6241
0.2692	-0.3979	0.4433	0.6516	-0.6981
0.8616	0.6763	0.8172	1.2864	0.8537
-1.0863	-0.2281	0.2125	1.294	-1.0893
-0.1579	-0.0636	0.0991	-0.1796	0.4741
0.0498	-0.5516	1.0794	0.4094	1.6472
-0.5605	0.3237	-1.0192	-1.251	-0.9871
-0.0209	-0.7804	-0.0547	1.4355	-2.2203
0.5727	-1.0017	-0.659	-0.6776	-1.0477
0.8082	1.3518	-0.8763	-0.7648	-0.6672
-1.1103	-1.0338	-0.36	-1.3502	0.0723
-1.6888	-0.9688	1.0134	1.1976	1.7087
0.8636	1.5212	1.203	1.3686	-0.5371
0.6829	-1.4131	1.2201	1.0242	-0.0754
-1.7744	-0.6044	-0.4469	0.9005	0.1152
-4.4452	-0.7998	-0.4755	1.3072	0.1524
-0.6384	1.2933	-0.3848	-0.6892	0.1534
-0.3225	-1.057	0.0446	0.1685	0.197
1.8255	1.7816	-0.5365	-0.7906	-1.6213
0.87	1.6136	0.8801	0.5142	-0.1356
-1.024	1.4322	0.6814	-0.9627	1.3248
-0.317	0.0665	-0.0645	-0.3188	0.2263
0.1721	1.1882	0.2608	0.3751	0.4691
-0.1585	0.9098	0.3638	-1.0497	0.0928
0.2788	1.081	1.657	1.3382	0.7871
-1.3196	1.4931	-0.665	-0.3173	-0.5819
-0.0832	-0.2352	-0.4551	-1.2284	1.2375
-0.9966	0.5433	-0.1992	-0.9285	0.3756
0.1676	0.8182	-0.0717	-0.5917	-0.4679
0.3924	1.4919	1.1246	-1.2601	0.7865
1.1703	0.7784	0.9363	0.6331	0.0674
-1.8372	0.772	0.2385	1.4901	0.3917
1.1057	-0.3635	0.3386	-0.7522	0.8031
0.111	0.2188	-0.5412	0.8483	-3.1289
0.3742	0.47	0.045	0.1002	0.1438
3.725	1.3041	1.0629	-1.0798	0.6445
3.8221	0.8767	0.2672	0.4125	-0.6362
0.7806	0.3903	0.63	0.3537	1.5051
1.0564	-0.2925	0.6946	0.4969	0.3761
0.1171	0.475	0.625	0.9393	0.4066
-0.2539	-0.0207	-0.0502	-0.0241	0.2294
-0.99	0.8804	-1.4826	-0.7242	-2.0354
-2.4894	0.696	-2.6158	0.6709	-4.02
0.3278	-0.7689	0.5881	-1.0619	1.3198
-0.0834	-1.5842	-1.5055	0.5919	-2.4704
-3.4612	-0.4598	-0.9038	-0.9016	1.2286
-1.4968	0.4799	-2.0505	-2.0043	-0.4708
0.1602	-0.0072	-1.0131	-1.8014	-1.5481
1.2655	-0.6166	0.8855	1.0657	0.3426
0.1429	1.2539	1.6473	1.56	0.4607
1.3226	0.5861	0.9491	1.1347	-0.1436
0.2386	-0.3037	0.842	1.3219	-0.2101
0.279	0.4122	-0.2639	0.9476	-0.2006
0.5027	-0.8002	-0.0312	-0.4317	0.2544
-0.2025	0.1111	0.3131	0.4903	-0.0123
0.8161	-0.6954	0.8226	0.9607	0.1015
0.8605	1.1891	0.706	0.9757	-0.3571
-2.6483	-2.368	0.7871	0.6254	2.8262
-0.9736	0.8556	-0.329	0.0262	-0.4068
-0.0757	0.3778	2.1874	2.074	0.392
-1.1854	-0.1767	0.263	-0.2668	0.8313
1.601	-0.7362	-0.8158	0.0787	-2.7117
2.2116	-0.2577	0.2677	0.3087	2.8592
-0.5053	-0.6402	-0.0196	0.9571	1.47
0.4111	0.2112	0.8035	1.0047	0.12
1.3437	-0.489	0.1469	0.2296	-0.7192
0.081	-0.6848	0.2121	0.042	-0.0013
