"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
0.4672	-0.025	-0.0613	0.0123	0.2954
-0.9482	0.8791	-0.6019	-0.7677	-1.7876
-1.6932	0.6353	-1.7341	-2.1491	-2.0872
0.1032	-0.5459	0.5989	0.6416	0.3485
-0.1009	-0.2802	0.154	0.9265	-2.5275
-0.9115	-0.6204	-0.9179	-0.9012	-1.397
-1.2177	-1.1259	-2.0286	-2.0097	-1.3065
-0.8935	-0.0123	-1.6764	-1.8231	-1.577
0.727	0.7439	1.1929	1.1609	0.3797
0.7392	0.767	1.5427	1.6347	0.5041
0.4514	0.0014	0.8973	0.694	-0.1347
0.4211	-0.3051	0.6513	0.412	-0.1869
0.2306	0.4149	-0.2917	-0.3057	-0.1788
0.4528	-0.8192	1.4391	1.5827	0.2897
-0.2126	0.1027	0.2648	0.3771	0.2806
0.0824	-0.6988	0.7981	0.8985	0.1205
0.2339	-0.7177	1.4669	1.3716	0.3043
3.6766	0.9206	0.7761	0.9683	0.4931
0.0174	0.8696	0.0182	0.0743	-0.3989
0.8192	0.3675	1.9216	2.175	0.4255
-0.3645	-0.19	-0.0172	0.1801	1.2131
0.1618	-0.435	-0.274	0.1181	1.1233
-2.7733	0.4164	8.9243	6.9173	2.9877
2.5648	1.6757	-0.0478	0.1259	2.6934
-0.0972	-0.8817	0.8058	0.9957	-0.1243
-0.3283	-1.0212	0.2043	0.2962	-0.7292
-0.2657	-0.2681	0.1819	0.1024	-0.4522
-0.8818	-1.8292	-0.3302	-0.6079	0.3764
-0.2888	0.5942	-1.269	-1.2526	0.7234
-0.4233	-2.056	-0.2562	-0.0245	-0.3111
-1.1828	0.7964	-1.1151	-1.1089	-0.9328
0.316	0.7548	-0.6601	-0.5229	0.0058
0.333	1.2115	0.1533	0.1712	0.1025
0.1517	0.9127	0.1051	0.2373	0.0636
-0.1441	0.7545	-0.54	-0.4787	0.1915
0.5797	-3.3457	0.6792	0.2825	2.231
0.6254	-3.3534	-0.2808	-0.5296	1.853
1.1819	-0.8831	0.3967	1.493	1.0768
0.1028	1.5816	-0.1164	-0.1287	-0.7308
-0.2442	-0.7004	0.7034	0.737	-0.4036
-0.8326	-0.2967	-1.4334	-1.1381	-0.1376
-0.6665	-0.2312	-0.791	-0.4846	-0.0156
-0.7678	-0.7405	-0.1536	-0.1433	-0.7483
-0.1095	-0.5279	0.5144	0.4876	-0.5885
0.7823	-0.2666	0.5953	0.5221	0.4997
-2.256	-0.1278	-1.5314	-3.5024	-1.6915
-2.045	-0.1523	-1.526	-3.4741	-1.5828
0.0119	0.0655	0.3139	0.5284	0.4052
0.1	-0.7264	0.9637	0.8796	0.5247
-0.2396	1.1066	-0.8392	-0.8985	-0.2445
-1.2571	0.4774	-0.7733	-0.6284	-0.3694
0.6169	1.0188	0.3828	0.5023	0.2678
0.0593	0.3074	0.5867	0.6098	-0.9746
-0.0912	0.5515	0.4498	0.4609	-0.979
0.0877	-0.3784	-0.2699	-0.0656	-1.197
-1.0571	0.6511	-1.3577	-1.1728	-1.1405
0.3827	-0.7698	0.183	0.3442	-0.0082
0.0851	-1.1944	0.8523	1.1897	0.0215
-0.3049	-0.0685	0.9991	1.0442	0.1987
-0.2074	-0.4435	1.4618	1.547	1.5522
0.2966	0.2281	0.9868	0.8334	-0.51
-0.1974	1.135	-0.5802	-0.5802	0.6822
-0.2408	0.5339	-0.6066	-0.4412	0.3808
0.0713	0.488	-1.2962	-1.0888	0.615
-1.1094	0.3738	-1.9513	-1.8827	-0.5554
-0.6207	0.1563	-0.595	-0.3939	0.4943
0.0662	1.4517	-0.1474	-0.2092	1.0445
-0.7978	-0.1117	-1.4751	-1.3088	0.3925
1.3019	0.2036	0.0214	-0.2244	0.6818
1.4876	0.3899	0.3702	0.1685	0.5865
-0.9108	1.0828	-1.9598	-2.0097	-1.431
0.5589	1.2365	0.6378	0.7221	-0.1007
1.4346	0.6198	0.9955	1.1244	0.4978
-1.1835	0.6364	0.5966	0.5205	1.4415
2.1513	0.8507	0.3408	1.0184	2.3305
0.4004	-0.8718	-0.5409	-0.6568	0.551
-0.5277	-1.5436	0.2091	0.2338	0.8306
0.784	-0.9633	0.8787	1.2314	1.4732
0.5517	-0.7339	-1.0165	-0.6805	1.0864
0.2205	-0.2357	-1.4682	-1.2069	-0.1361
0.0979	-0.0542	-2.0676	-1.7618	-0.0318
-0.4248	0.1948	-2.4043	-2.2793	-0.6277
-0.8826	-0.7325	-1.5576	-1.1777	0.0046
-0.019	0.5383	-2.0109	-1.8663	-0.3204
-0.5363	1.8134	-1.6409	-2.0519	0.4665
0.2531	0.772	-0.8748	-0.9444	0.6295
-0.358	0.9672	-0.1528	-0.2543	0.0552
-0.3467	0.6568	0.1337	0.0875	0.4495
-0.6675	0.1332	-0.0326	0.0014	-0.1263
-0.7006	0.0198	-0.2212	-0.1415	0.0448
-0.418	0.2329	0.2873	0.2819	0.3592
-0.544	0.4559	-0.0003	0.0081	0.1927
-0.2977	0.8748	0.1737	0.1256	0.2009
-0.1927	0.322	0.4181	0.396	0.8714
-0.0543	1.2923	0.6724	0.6988	0.3652
0.2298	-0.6065	0.9823	0.9119	0.1423
-0.342	-0.3846	-0.2475	-0.0206	-0.1812
0.2409	0.8291	-0.1464	0.0573	0.1018
0.4316	1.1663	1.0203	0.8495	0.3296
-0.3351	0.0535	-0.9992	-1.0687	-0.9556
-1.1523	0.9319	-1.0453	-1.9522	0.049
-0.1302	-0.0563	1.2364	1.091	1.1836
0.3223	0.6396	2.0976	1.8255	1.0881
-0.8589	0.3306	-2.259	-2.3613	-1.0097
-0.1254	-1.0464	0.4626	0.5661	-0.4106
-0.3371	-1.3193	-0.0537	0.1255	-0.3439
-0.7935	0.6011	-0.4717	-0.5752	0.4991
-0.2797	0.5676	-0.3115	0.0138	-0.3059
-0.3225	0.5658	-0.1702	0.0695	-0.4998
-0.2012	0.1558	-0.6396	-0.4593	1.0717
0.1414	0.6813	-0.3633	-0.3519	0.6316
0.8713	0.7602	0.6644	0.5287	0.8307
-1.7219	-0.693	-2.0932	-2.2464	-0.7835
-0.0272	-3.6036	-1.6512	-0.9565	0.2026
2.4764	1.2043	0.8644	1.1494	0.6914
-0.579	4.195	-0.3737	-0.1688	-7.1517
-0.5265	0.3397	-0.9974	-0.915	-1.2257
-1.3523	0.0834	-1.725	-1.6593	-1.4117
-0.101	0.3362	-0.4303	-0.393	-0.9499
-0.4711	0.2534	-0.8084	-0.7554	-1.0186
-0.1003	0.1806	-0.9545	-0.7686	-1.0046
-0.4574	-1.5404	-0.6266	-0.4399	-0.0699
-0.4241	-0.5593	-0.4632	-0.4174	0.2773
0.6173	-0.0652	1.8014	0.5877	1.8597
0.4698	-0.8074	0.4476	0.5282	0.7171
-0.2201	-0.4559	-1.944	-1.7425	-1.6948
0.2854	0.454	0.7214	0.2712	-1.8532
-0.1727	0.2489	0.022	-0.3427	-1.8464
-0.4793	0.545	-1.6669	-1.9382	-1.8728
0.5736	1.1208	0.9891	0.5096	-1.9037
0.317	0.9628	1.3193	0.7293	-1.8787
0.1515	1.4097	0.4839	-0.133	-1.2488
0.4803	2.0595	1.1318	0.1606	-1.7688
0.152	0.5305	0.8258	0.4361	-1.9787
-1.1567	-0.7881	-1.5825	-1.8805	-1.9255
0.0194	-1.3077	-0.5575	-0.5653	-1.876
0.1135	-0.0183	0.624	0.4272	0.6951
-0.4133	-0.4179	0.5096	0.4959	0.2213
0.2371	0.0837	1.1609	1.0139	-0.2751
0.7258	-0.1702	1.0279	0.9426	0.1775
-1.0062	-0.828	-0.8089	-0.467	-0.2563
-0.312	0.1555	0.0732	0.2055	0.2452
-0.5134	-0.7414	-0.5834	-0.2881	-0.1445
0.1057	-0.996	0.4859	0.8672	0.1059
0.5318	0.4611	1.1712	1.1354	1.8744
-0.0428	0.2259	0.1089	0.066	1.4154
0.3764	0.1978	0.3691	0.5344	2.056
0.3397	1.0139	-0.8776	-0.6966	1.2143
-0.3649	0.1725	-0.0613	0.0749	1.3519
0.1504	-0.7629	-1.5798	-1.1906	-0.7817
-0.4585	-0.7414	0.2139	0.317	0.0624
0.0155	0.2812	-0.4567	-0.5177	0.3756
-0.0744	-0.9397	-0.3296	-0.1709	-0.4553
0.1609	-1.7246	0.793	1.1245	1.8519
-1.2569	-2.0456	0.4188	0.7099	1.205
1.0536	0.1486	2.1262	2.298	0.9317
-1.9423	-0.7237	-0.2314	-0.3681	0.9729
0.0474	0.0465	-1.0072	-1.0452	-0.8354
-1.6721	7.9934	-1.9739	-2.0865	-1.7405
-1.1405	-0.252	-2.7559	-2.6695	-1.7292
-0.7735	0.9371	-0.2295	-0.1783	0.5262
-1.0634	0.7542	-0.5337	-0.4576	0.3427
2.3595	0.8004	0.522	0.3139	1.0057
0.0833	0.5371	-1.0385	-1.0315	0.1799
-0.3422	0.3013	-0.3548	-0.3106	0.734
-1.0969	0.2625	-0.8914	-0.7024	-0.9978
0.1437	-1.3281	0.8831	1.1404	1.4229
-0.3633	0.3924	-0.9571	-1.3352	-1.9881
-0.8771	-0.1356	-0.1836	-0.2482	-1.7638
0.349	0.5022	-0.189	-0.0844	-0.6853
0.1345	0.5473	0.5113	0.5067	-0.3219
0.1501	0.3984	0.5798	0.6055	-0.3731
0.136	0.3689	0.4455	0.5262	-0.3258
-0.221	1.1744	-2.2835	-2.3217	-1.4475
-1.2477	1.0669	-1.7652	-1.8342	-1.6196
-0.2153	0.7854	0.1229	0.3183	-1.1628
0.7705	0.7804	0.7956	0.6346	1.5348
0.4759	-0.793	0.0963	0.2312	0.841
0.7491	-0.2096	1.0946	1.1325	0.9695
0.1927	-1.1637	-0.2324	-0.0486	0.3628
-0.0968	0.0628	-0.3289	-0.1712	0.3189
-0.151	0.1532	-0.4551	-0.3214	0.286
-0.058	0.4965	-0.2355	-0.1786	0.5335
-0.0648	2.639	-0.5745	-0.8221	-0.5932
0.9445	0.6687	-0.2683	-0.22	0.5409
-0.24	-0.5835	0.0655	0.5348	0.0623
-0.017	0.0684	-0.0025	0.3245	-0.9658
-0.3546	0.129	0.1836	0.3939	-1.2999
-0.7938	-0.0892	-0.9697	-0.6111	-1.2172
-0.4433	0.2435	0.1545	0.2601	-1.4363
-0.0424	0.113	2.5857	2.2917	0.5389
-0.5494	0.4975	-0.0037	-0.104	0.4178
-0.5496	0.4941	0.3682	0.3666	0.562
2.6102	1.4855	0.5653	0.5956	1.9869
-0.1215	-0.3772	-0.7537	-0.8072	-0.8712
-0.7415	-0.6828	-1.4576	-1.326	-0.7419
0.6573	1.1823	0.1455	0.1886	-0.1503
-0.0418	-1.7657	0.1043	0.2773	2.2805
-0.2888	-1.2573	-0.0013	0.1428	0.18
-0.4996	-1.0677	-0.2059	-0.0203	-0.5766
-0.5849	-1.0778	-0.9209	-0.6449	-0.699
-1.2512	-0.7545	-0.8269	-0.8418	-0.7628
-0.3111	-0.7023	-0.3977	0.0166	-0.4012
-0.5464	-0.9191	-0.3823	-0.2176	-0.2982
0.8764	0.6995	-3.088	-1.7812	5.3854
-0.5109	-0.7951	0.4286	0.3567	0.849
-0.4601	-1.6854	-0.0207	0.2322	-0.7724
-0.4963	-0.0182	-0.5868	-0.8453	0.326
-0.1163	-0.0825	0.381	0.473	0.3716
-2.3913	-0.0668	2.1564	1.9995	-1.7855
0.4092	-0.7949	0.7818	0.9641	0.5006
0.0701	-0.6281	-0.5145	-0.0272	0.1308
0.8797	-0.3724	0.3191	0.7451	0.218
-0.3235	0.7229	0.71	0.5129	1.4465
-0.6332	-1.3216	0.0812	1.0033	-3.2846
0.044	0.6033	-0.3045	-0.2157	-1.1157
-0.2963	-0.2499	0.1696	0.3059	1.231
-1.3292	-0.9425	-0.8736	-0.0839	-0.6038
-0.9032	-0.5516	-1.4237	-0.5243	-0.7657
0.1933	-0.1411	0.8607	0.7969	-0.2899
-0.0364	-0.3465	0.7355	0.8822	-0.2863
0.5486	-0.1128	0.9515	0.9036	-0.355
-0.2085	0.0043	-0.2735	0.2793	-0.762
-0.1376	-0.5879	-0.0142	0.6282	-0.4441
