"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
1.723	148.1009	55.4053	1607.5144	0.0625
0.5693	155.2654	4.5583	176.6499	-0.0012
0.6031	120.4771	8.7675	423.3561	0.1011
0.5615	184.284	1.5459	418.4521	-0.0182
1.1319	245.9794	478.0187	7815.3574	2.2537
1.9965	248.2528	690.3804	20341.0527	2.6591
1.6448	186.5226	239.913	5271.8809	-61.0635
1.0869	164.3458	148.6126	2021.9677	0.6976
1.4861	216.5973	23.766	301.3667	0.8065
1.9552	71.4746	556.3644	17536.9102	2.1682
0.5277	193.509	69.5049	2642.7852	1.8038
2.3817	141.7807	190.6686	4695.7388	1.7346
2.3215	141.0427	772.8445	11035.6777	-122.6152
-3.4122	237.6942	182.0307	5632.6802	3.2063
0.439	257.6565	94.4546	1054.8186	-32.9607
5.4914	215.1433	1655.8989	54420.2148	1.8316
2.3741	172.8172	129.3167	1124.7617	12.2811
-0.4813	139.7831	24.4393	1166.9198	139.7862
-5.4608	-789.1044	63.126	2540.5857	487.7677
1.9973	349.7593	37.0394	3145.8423	275.8984
2.996	132.5615	168.0697	6087.6333	1.1779
2.5571	125.8492	51.9499	1586.6967	0.3199
2.5063	167.332	61.4351	1081.7352	0.5056
1.2975	92.0526	24.9121	11647.2725	2.3967
0.9453	232.629	2.9559	89.3868	4.3954
0.2016	85.1399	29.2024	875.4656	86.364
0.7941	224.3643	5.0242	116.726	52.6363
0.6909	247.1861	140.5233	347.0797	0.4736
2.68	314.982	55.6527	1246.6833	-99.8366
0.6944	263.255	117.4851	1448.739	0.8761
0.6883	338.5594	67.3086	378.2625	1.3716
-0.4077	-32.3866	161.8283	1518.6038	103.4269
-0.3581	-13.8471	24.1142	341.4556	43.9919
0.2508	132.2053	667.2504	83.4419	8.9844
0.8439	337.2189	32.4671	1294.5343	0.1932
0.2403	112.5396	162.5769	3647.0686	93.1057
0.9624	165.492	7.5025	1312.3899	0.8782
0.9148	217.7263	8.658	1307.8434	0.9843
0.4451	139.7679	33.8565	710.3021	4.437
0.6436	137.2936	113.3979	2295.8125	0.0347
-1.0938	167.0133	1117.9764	3893.6074	2.4463
0.2778	176.6641	119.3392	21.8619	42.4216
0.2804	179.9574	119.4548	10.0548	39.4666
0.9365	189.9421	76.9267	2264.2073	94.5876
-0.0545	128.1421	282.5411	4523.0811	3.1479
2.6789	282.7131	22.8404	172.7391	0.5425
0.7511	270.8204	11.7862	287.8747	0.371
0.7823	273.0418	135.6746	2361.5222	-10.1882
0.5537	211.988	130.1375	2832.7737	0.0502
0.4548	229.308	91.7604	2186.7415	-15.2498
0.2224	223.7431	24.9654	778.7347	0.1344
0.6676	237.1912	2.9398	117.8737	75.7924
0.8539	201.327	60.2696	1157.3821	23.6377
0.6184	117.6755	315.4531	1160.1509	0.9792
0.2817	236.2445	489.9701	11660.667	-6.5521
-0.9286	248.4032	708.0153	6625.7046	24.4599
1.8855	202.0539	284.2312	5270.3472	0.4352
1.3455	285.0633	13.3076	312.4746	4.0737
1.3462	238.4903	39.0976	419.7845	2.0354
1.383	222.0315	3.36	111.4219	3.4738
1.3564	213.0463	1.114	27.8104	23.234
1.3419	220.478	12.909	456.7598	2.4238
1.4204	219.7531	35.7041	615.8037	9.3705
1.3785	177.1819	35.7262	78.8541	40.8693
4.5354	200.2816	44.2959	601.8972	3.7735
4.4152	214.155	85.3575	5176.4287	2.9161
2.1064	278.8198	0.9234	5278.5088	0.1632
1.7972	325.8379	141.7697	3519.7087	0.8557
-0.0081	183.1612	1062.3236	11549.6094	2.6614
1.3708	387.901	246.9397	2393.1584	19.8666
1.8445	255.9956	78.8463	741.4471	125.8603
1.7216	133.1449	7.1078	267.0698	-143.987
-0.4323	168.1691	244.9412	1403.3104	6.121
0.7119	127.8464	124.3602	759.4749	8.124
1.0196	140.1761	5.707	161.1746	31.4323
0.9503	169.499	2.3681	80.3092	0.6659
0.8988	181.2722	17.6532	32.2905	0.8261
0.8632	200.1001	24.1879	13.4263	-20.2429
0.95	180.8356	1.9822	109.7906	0.9118
0.8856	228.0412	0.7027	15.4054	0.4255
0.7014	370.4094	1.4915	20.1658	2.6276
0.7982	248.1923	58.6832	134.408	3.6216
0.7472	267.7308	80.9423	1208.4674	3.4059
0.838	201.8778	46.4763	1074.491	2.5563
0.8611	193.5309	35.8672	934.3265	28.9721
0.7951	186.7323	99.3836	709.7472	1.0365
0.8907	193.7078	74.3343	1898.1763	15.0144
0.9048	185.767	41.2356	1215.0784	1.4882
0.8625	200.6022	57.2533	1166.8347	9.6523
0.8267	196.2235	86.6057	1888.844	5.9847
1.6912	302.3586	151.9805	3440.8164	45.871
1.4105	147.3639	280.9159	4985.9595	0.8105
0.5602	160.0284	20.9408	881.899	0.5373
0.8113	277.8716	28.692	1118.2689	26.5452
