"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
-0.8805	1.5125	0.6121	0.696	0.4488
-0.7052	-0.0138	-0.0719	0.012	0.2551
-0.9386	0.8774	-0.6484	-0.7052	0.2997
-1.7022	-1.4449	-2.6172	-1.0933	-2.0672
0.1048	-0.7495	0.5796	-0.1942	0.3456
-0.1107	-0.2897	0.1392	1.2806	-2.5185
-0.9216	-0.4645	-0.9182	-0.8845	0.1328
-2.1939	-1.1232	-0.2347	-2.0229	-1.2877
-1.7405	-0.0134	-1.6827	-1.7947	0.3559
0.7343	0.2033	-0.4771	1.1462	0.3733
0.2261	0.7737	1.5117	1.6467	-0.6717
0.1123	0.0186	0.8895	0.401	-0.1273
-0.0051	-0.3141	0.6482	0.394	-0.1986
0.2343	0.4098	-0.3173	-0.5747	0.7811
2.0041	-0.8058	1.342	1.5709	0.2804
0.4384	0.1182	0.2991	0.5239	0.2938
0.741	-0.7007	0.7697	0.514	-0.189
0.8106	-0.7126	1.4934	0.2371	0.4336
3.6654	0.663	1.0139	0.9825	0.4809
0.127	0.8613	0.5549	0.0728	-0.3934
1.5568	0.372	1.931	2.1596	-0.3203
-0.3734	0.8004	-0.002	0.0983	1.2189
0.1525	-0.7509	-0.2418	0.0884	-0.1
0.6795	0.4217	0.5287	-0.5845	2.9699
2.5417	1.6657	0.0178	-0.1084	2.6901
0.3424	-0.8729	0.7828	0.9967	-0.533
-0.3186	-1.0099	0.119	0.276	-0.6861
0.0553	-0.2645	0.193	0.1115	-0.4501
-0.5239	-1.8251	-1.4441	-0.6597	0.3738
-0.3007	-0.5317	-1.3387	-1.2604	0.728
-0.4133	-2.0367	-0.1895	-2.3096	1.3143
-1.1757	-1.5545	-1.1068	-1.1146	-0.9325
0.3096	0.7463	-0.6158	-0.5457	0.9337
0.3375	1.8378	0.1529	0.1592	0.944
0.1551	0.9035	0.2291	0.2386	0.1086
0.1988	-0.3728	-0.5283	-0.4875	0.197
0.5965	1.0536	-1.1252	0.276	2.2237
0.3304	1.0414	-0.302	-0.5159	1.8243
1.1801	-0.882	-1.0695	1.4869	1.0629
0.1014	-0.5164	-0.1645	-0.4964	-0.7359
-0.2392	-0.5396	0.6962	0.2418	-1.0919
0.1388	-0.3049	-0.9174	-1.1166	0.5054
-0.6654	-0.3906	-0.818	1.1112	-1.8151
-0.7714	-0.6037	-0.1207	-0.1425	-0.741
-0.1028	-1.3003	-0.5074	0.4864	-0.5874
0.7949	1.0263	1.6807	1.2904	0.4945
-2.2358	-0.1256	-1.0164	-2.0034	-0.0623
0.741	-0.656	-1.5054	-1.5623	0.989
0.4653	0.0613	0.3406	0.4633	0.0406
0.1006	-0.6927	0.9724	0.0316	0.5271
-0.2375	1.0968	-0.3119	0.2054	-0.2345
-1.2695	0.4789	-0.6504	-0.6407	-0.0047
-0.816	1.0034	0.3935	0.4808	-0.1045
0.9168	0.2992	0.586	0.5991	-0.9765
-0.0978	-0.6733	0.4178	0.4616	-0.977
-0.9712	-0.382	-0.2474	-0.1108	-1.2002
-1.0645	-1.8614	-1.3348	-1.1267	-1.1261
0.4002	0.302	0.2033	0.327	0.3317
0.0817	-1.1934	1.0375	1.1983	-1.3074
-0.3086	-0.0903	-0.2996	-0.2123	0.1655
-0.2011	1.6762	1.441	0.5324	1.5368
-0.2897	0.2291	0.1678	1.0375	-0.5301
-0.0596	-0.0332	-0.5842	-0.5952	0.6893
-0.2404	0.6644	0.1311	-0.4358	0.3699
0.0768	-0.6938	-1.2659	-1.1466	0.6074
-2.8249	0.3599	-1.8654	-1.8929	-0.5581
-0.6252	0.1577	-0.5689	-0.3967	0.22
0.8546	0.6961	0.4583	-0.2169	1.0792
