"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1208",138,"Lonicera japonica","","Lonicera",2,"Lonicera japonica","Thunb.","Lonicera",2,"kew-2339716",1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera japonica",NA
"1167",139,"Lepidium draba","","Lepidium",2,"Lepidium draba","L.","Lepidium",2,"kew-2342458",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Lepidium draba",NA
"1527",140,"Plantago lanceolata","","Plantago",2,"Plantago lanceolata","L.","Plantago",2,"kew-2569834",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Plantago lanceolata",NA
"1435",141,"Papaver rhoeas","","Papaver",2,"Papaver rhoeas","L.","Papaver",2,"kew-2561554",1,FALSE,0.8,0,NA,NA,NA,NA,"Papaveraceae",NA,"Papaver rhoeas",NA
"1145",142,"Laurus nobilis","","Laurus",2,"Laurus nobilis","L.","Laurus",2,"kew-2349094",1,FALSE,0.8,0,NA,NA,NA,NA,"Lauraceae",NA,"Laurus nobilis",NA
"1860",143,"Silene flos-cuculi","","Silene",2,"Silene flos-cuculi","(L.) Greuter & Burdet","Silene",2,"kew-2485564",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene flos-cuculi",NA
"1122",144,"Lamium maculatum","","Lamium",2,"Lamium maculatum","(L.) L.","Lamium",2,"kew-107516",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Lamium maculatum",NA
"1834",145,"Senecio vulgaris","","Senecio",2,"Senecio vulgaris","L.","Senecio",2,"gcc-110983",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Senecio vulgaris",NA
"959",146,"Glaucium flavum","","Glaucium",2,"Glaucium flavum","Crantz","Glaucium",2,"kew-2826358",1,FALSE,0.8,0,NA,NA,NA,NA,"Papaveraceae",NA,"Glaucium flavum",NA
"1418",147,"Orobanche minor","","Orobanche",2,"Orobanche minor","Sm.","Orobanche",2,"kew-2395479",1,FALSE,0.8,0,NA,NA,NA,NA,"Orobanchaceae",NA,"Orobanche minor",NA
