"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Cardamine parviflora","Cardamine parviflora",0.125,164.27,2.56,75.575,0.106,"Cardamine"
"Carduus nutans","Carduus nutans",0.6,127.666666666667,286.832203133333,4599,3.23571428571429,"Carduus"
"Carex acuta","Carex acuta",0.9,331.79,132.83,2455.25,0.424666666666667,"Carex"
"Carex acutiformis","Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667,"Carex"
"Carex caryophyllea","Carex caryophyllea",0.09,310,16.593646155,387.5,1.2992,"Carex"
"Carex digitata","Carex digitata",0.1,274.155,15.652912825,480.25,1.445,"Carex"
"Carex distans","Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286,"Carex"
"Carex divulsa","Carex divulsa",0.275,105,42.36,1403.7,1.57537142857143,"Carex"
"Carex echinata","Carex echinata",0.25,365.5,15.3740942045,218,0.744788235294118,"Carex"
"Carex elata","Carex elata",0.9,344.07,280.38,2693.25,0.75559,"Carex"
"Carex extensa","Carex extensa",0.135,320.49,11.52,101.25,1.24503333333333,"Carex"
"Carex flacca","Carex flacca",0.275,332.9625,34.84894372,634.75,1.01511818181818,"Carex"
"Carex hirta","Carex hirta",0.45,291.2125,74.826634202,1718.5625,2.8165,"Carex"
"Carex pallescens","Carex pallescens",0.325,264.57,14.635,526.5,1.25258333333333,"Carex"
"Carex pendula","Carex pendula",0.5,301.5,1029.6398723,12540,0.721809090909091,"Carex"
"Carex pilulifera","Carex pilulifera",0.1,328,10.26045949,209,1.22661290322222,"Carex"
"Carex pseudocyperus","Carex pseudocyperus",0.35,308.56,157.67,3788,0.728615384615385,"Carex"
"Carex punctata","Carex punctata",0.14,323.97,27.08,758,1.01422857142857,"Carex"
"Carex remota","Carex remota",0.45,254,12.81434932,318,0.371945454545455,"Carex"
"Carex riparia","Carex riparia",1.05,326.64,1187.015,14070.25,1.99093333333333,"Carex"
"Carex rostrata","Carex rostrata",0.5,245.88,76.815,1182.5,1.18026666666667,"Carex"
"Carex spicata","Carex spicata",0.275,249.633333333333,16.29,324.333333333333,2.38878,"Carex"
"Carex strigosa","Carex strigosa",0.625,160.94,76.005,2395.875,0.5492,"Carex"
"Carex sylvatica","Carex sylvatica",0.425,324,29.75434925,677,1.66395384615385,"Carex"
"Carex vesicaria","Carex vesicaria",0.55,320.11,99.85,1222,1.39118888888889,"Carex"
"Carlina acaulis","Carlina acaulis",0.31,183.38,391.485,4001.14,4.08333333333333,"Carlina"
"Carpinus betulus","Carpinus betulus",17.875,258.685,62.93,2268.52,41.8153142857143,"Carpinus"
"Carthamus tinctorius","Carthamus tinctorius",0.8275,145.99,136.45,1930.5,26.152,"Carthamus"
"Centaurea calcitrapa","Centaurea calcitrapa",0.35,165.83,73.14,1669,2.3032,"Centaurea"
"Centaurea nigra","Centaurea nigra",0.425,154.333333333333,132.657338776667,3440,2.49422857142857,"Centaurea"
"Centaurea solstitialis","Centaurea solstitialis",0.64,183.82,36.115,961.25,1.682,"Centaurea"
"Centaurium erythraea","Centaurium erythraea",0.14125,259.833333333333,11.9113359736667,251.5,0.0127692307692308,"Centaurium"
"Centaurium pulchellum","Centaurium pulchellum",0.0633333333333333,184.38,0.25,16.83,0.0128111111111111,"Centaurium"
"Centranthus ruber","Centranthus ruber",0.433333333333333,138.41,130.3674311,3105.625,2.0025,"Centranthus"
"Cephalanthera damasonium","Cephalanthera damasonium",0.35,166.065,55.2666666666667,1607.25,0.005,"Cephalanthera"
"Cerastium glomeratum","Cerastium glomeratum",0.145,155.235,6.92513087175,176.666666666667,0.053294,"Cerastium"
"Cerastium pumilum","Cerastium pumilum",0.045,120.28,0.755,21.25,0.0662,"Cerastium"
"Cerastium semidecandrum","Cerastium semidecandrum",0.06,184.333333333333,1.641782751,32,0.0369536363636364,"Cerastium"
"Chaerophyllum bulbosum","Chaerophyllum bulbosum",0.85,264.21,477.82,7812.23,2.13333333333333,"Chaerophyllum"
"Chaerophyllum temulum","Chaerophyllum temulum",0.491666666666667,249,783.1828877,20341,2.73757894736842,"Chaerophyllum"
"Chelidonium majus","Chelidonium majus",0.466666666666667,186.5,240.14783215,9226,0.74,"Chelidonium"
"Chenopodium album","Chenopodium album",0.483333333333333,164.333333333333,148.549258353333,2390,0.647,"Chenopodium"
"Chondrilla juncea","Chondrilla juncea",0.5,216.62,23.615,301.25,0.671,"Chondrilla"
"Cichorium intybus","Cichorium intybus",0.625,136,556.1217391,17537,1.77817333333333,"Cichorium"
"Circaea lutetiana","Circaea lutetiana",0.308333333333333,193.5,69.448388015,2643,1.79549090909091,"Circaea"
"Cirsium arvense","Cirsium arvense",0.8625,141.656666666667,190.5354895,3857.5,1.24554444444444,"Cirsium"
"Cirsium vulgare","Cirsium vulgare",0.9,140.718,772.965,11035.5,2.477741666625,"Cirsium"
"Clematis vitalba","Clematis vitalba",20,238,181.9306757,5633,2.61067654318519,"Clematis"
"Clinopodium vulgare","Clinopodium vulgare",0.375,258,44.77825051,1055,0.425483333333333,"Clinopodium"
"Conium maculatum","Conium maculatum",2.075,213.55,1656.91385666667,54419.815,2.3524,"Conium"
"Convolvulus arvensis","Convolvulus arvensis",0.2626,172.5,40.729062745,1124.75,12.4924,"Convolvulus"
"Coriandrum sativum","Coriandrum sativum",0.46,139.535,24.0275,1166.75,10.3166666666667,"Coriandrum"
"Cornus mas","Cornus mas",3.5,216.955,63.4175,1884.57,487.533333333333,"Cornus"
"Crataegus laevigata","Crataegus laevigata",6,349.89,37.4375,730,275.9989,"Crataegus"
"Crepis biennis","Crepis biennis",0.575,132.5,189.01499035,6087.5,1.3082,"Crepis"
"Crepis capillaris","Crepis capillaris",0.275,125.666666666667,51.79898105,1585.66666666667,0.215039166666667,"Crepis"
"Crepis vesicaria","Crepis vesicaria",0.41,167.22,61.2733333333333,1080.5,0.38537,"Crepis"
"Crithmum maritimum","Crithmum maritimum",0.225,92,24.76510501,268,2.10536666666667,"Crithmum"
"Cruciata laevipes","Cruciata laevipes",0.283333333333333,232.666666666667,2.96324171733333,89.6666666666667,4.4628,"Cruciata"
"Cymbalaria muralis","Cymbalaria muralis",0.25,85,29.256895065,875.5,0.123,"Cymbalaria"
"Cynodon dactylon","Cynodon dactylon",0.11,224.17,4.89666666666667,116.25,0.13925,"Cynodon"
"Cynosurus cristatus","Cynosurus cristatus",0.546666666666667,247.163333333333,11.5967224085,347.333333333333,0.547476923076923,"Cynosurus"
"Cyperus longus","Cyperus longus",0.56,241.33,55.57,1247,0.063,"Cyperus"
"Dactylis glomerata","Dactylis glomerata",0.454,262.5,49.902292548,1449,0.9114225,"Dactylis"
"Danthonia decumbens","Danthonia decumbens",0.1,338.635,14.61016854,378,1.4583,"Danthonia"
