"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Bidens frondosa",0.290088082633532,NA,0.516536710866999,0.783568797800616,1.03462699092523,"Bidens"
"Bidens tripartita",0.290088082633532,-0.526549321534226,0.318820401400258,0.494051511531414,0.425674277265812,"Bidens"
"Blackstonia perfoliata",NA,0.491706019267541,NA,NA,-2.26200647561907,"Blackstonia"
"Borago officinalis",NA,-0.659626826113773,0.686705734793987,NA,1.32210343526817,"Borago"
"Brachypodium sylvaticum",0.720110298815755,NA,-0.337652187622685,0.745534358718459,NA,"Brachypodium"
"Brassica nigra",0.610210425770419,NA,0.936169933793905,1.05074566191922,0.134041021634501,"Brassica"
"Brassica rapa",0.414484427029956,NA,NA,0.661419611193995,0.363441650189442,"Brassica"
"Briza media",NA,1.26298328735077,-0.197059468854305,NA,-0.439790317089558,"Briza"
"Bromus arvensis",-0.145907234002536,NA,0.010469991835048,0.0699452667738267,0.461865155614202,"Bromus"
"Bromus commutatus",0.243668735133147,NA,NA,-0.0168957710721362,0.789970422397584,"Bromus"
"Bromus madritensis",NA,-0.297545201387362,NA,-0.955563959583186,0.450334815805609,"Bromus"
"Bromus sterilis",-0.0300342605033554,0.581868747299888,-0.485598293523434,NA,0.964622199247592,"Bromus"
"Buddleja davidii",1.4798168270362,NA,0.335967041861233,0.60334803482719,NA,"Buddleja"
"Butomus umbellatus",NA,-1.15164990386878,NA,0.958038419682088,NA,"Butomus"
"Cakile maritima",NA,-1.96530167779316,0.320369293503776,-0.037487137898842,NA,"Cakile"
"Calamagrostis epigejos",0.903134436695246,2.04647658473087,0.946578152830839,0.878337519475088,-1.21511317407699,"Calamagrostis"
"Calendula arvensis",NA,NA,0.0129557401301284,-0.00152477121147854,0.611318665162418,"Calendula"
"Callitriche palustris",NA,NA,-2.12765857311165,-1.47971388816651,NA,"Callitriche"
"Calystegia sepium",1.14355745152943,NA,NA,0.643940833089356,1.63517731532284,"Calystegia"
"Calystegia silvatica",1.56260013825734,0.502840297571395,0.614388087746547,0.624440202568936,NA,"Calystegia"
"Campanula rapunculus",NA,-0.351542130062451,-0.604393128851135,-0.228501183919769,-1.63365193392717,"Campanula"
"Campanula trachelium",0.417130904111299,-0.409501642584105,0.4255508286004,0.705129966367767,-0.704301646190496,"Campanula"
"Cannabis sativa",NA,0.675266132750855,0.799859071771263,0.864522906615492,0.889442105242876,"Cannabis"
"Capsella bursa-pastoris",-1.06266105465982,NA,0.215257818119177,0.350377437502792,-1.11360110483849,"Capsella"
"Cardamine amara",NA,NA,0.102719874277973,NA,-0.651575196930679,"Cardamine"
"Cardamine bulbifera",0.0254032388516781,-0.572337911938289,NA,0.445906959234192,0.475262612451871,"Cardamine"
"Cardamine flexuosa",-0.551944239176118,NA,-0.593165497290834,NA,-1.00959734400197,"Cardamine"
"Cardamine heptaphylla",-0.0300342605033554,-0.804559643228616,1.45146711265332,NA,NA,"Cardamine"
"Cardamine hirsuta",NA,-1.02871717291707,-0.641062737093887,-0.549154125899331,-1.07127009408569,"Cardamine"
"Cardamine impatiens",-0.0732875222290808,1.37633194594495,-0.874014692910207,-0.731094791750449,NA,"Cardamine"
"Cardamine parviflora",-1.07526266799105,-0.322704747758219,NA,-1.34070885179592,NA,"Cardamine"
"Carduus nutans",NA,-0.993737793814532,0.999824812421554,NA,0.562124276728419,"Carduus"
"Carex acuta",0.802893610036897,1.54858121324209,0.610121601483497,NA,NA,"Carex"
"Carex acutiformis",0.629431441058744,1.56170623189577,1.20561119452289,1.05971746541559,-0.0714641050292099,"Carex"
"Carex caryophyllea",-1.38780403159685,NA,-0.442844814686153,NA,0.124211220733214,"Carex"
"Carex digitata",-1.2875632049385,NA,-0.472389345103194,NA,0.175254132888165,"Carex"
"Carex distans",-0.628097503376397,1.31560205675992,-0.545671304121062,-0.675917764267836,0.172971361668005,"Carex"
"Carex divulsa",-0.325118108671941,-1.51403754752205,0.0315783252654108,0.206303916681103,0.216709096620041,"Carex"
"Carex echinata",-0.415796966428953,1.80615668167203,NA,-0.779790555734399,NA,"Carex"
"Carex elata",0.802893610036897,1.64532206792969,0.988307480400897,0.55133473720287,-0.135899280649937,"Carex"
"Carex extensa",-1.00204132567125,1.45634354147472,-0.627582906535561,NA,NA,"Carex"
"Carex flacca",-0.325118108671941,NA,-0.0672268683273803,NA,0.00579791040129865,"Carex"
"Carex hirta",0.143427908474797,1.20134001249098,0.319602924819095,NA,0.49553530402377,"Carex"
"Carex pallescens",-0.166181533250523,NA,-0.506428245165101,NA,0.106675231389201,"Carex"
"Carex pendula",0.243668735133147,1.29375233342614,1.64680996101049,1.36577240194442,NA,"Carex"
"Carex pilulifera",-1.2875632049385,1.51799971509468,NA,NA,0.0966205420038111,"Carex"
"Carex pseudocyperus",-0.0956746232920653,1.35536528849246,NA,NA,NA,"Carex"
"Carex punctata",-0.967440861801609,NA,-0.19490982171273,NA,0.00537715650408544,"Carex"
"Carex remota",0.143427908474797,0.837408807950645,-0.573679958135998,-0.579880851656698,-0.476032181452995,"Carex"
"Carex riparia",NA,1.50693965480676,NA,NA,0.329060650286659,"Carex"
"Carex rostrata",NA,NA,NA,0.115507742956055,0.0781364410163631,"Carex"
"Carex spicata",NA,0.791248685018272,NA,-0.569439226749026,0.416489227773199,"Carex"
"Carex strigosa",NA,-0.377219748259042,0.327512756022388,NA,-0.289006101672474,"Carex"
"Carex sylvatica",0.0890469421514717,NA,-0.147233936807192,NA,NA,"Carex"
"Carex vesicaria",0.334347592890158,NA,0.465645416036376,0.132905510070858,0.157041469433712,"Carex"
"Carlina acaulis",NA,NA,NA,0.760920405508825,0.673780678180557,"Carlina"
"Carpinus betulus",3.64642690621187,0.886059785671154,0.231950197057354,0.460464308690672,1.79020529977682,"Carpinus"
"Carthamus tinctorius",0.722988993590714,-0.636736955376803,0.623732955312401,0.375032946206772,1.56496852135608,"Carthamus"
"Centaurea calcitrapa",NA,-0.297545201387362,0.30806184071195,NA,0.398980732147145,"Centaurea"
"Centaurea nigra",0.0890469421514717,-0.488797919350814,0.609463153081005,NA,0.437219512728666,"Centaurea"
"Centaurea solstitialis",0.478533362800357,-0.0233866483088474,-0.0491621147781302,0.00582446453685762,0.248139216468424,"Centaurea"
"Centaurium erythraea",-0.958983847030334,0.897850091337709,-0.610672120531027,-0.704102039287558,-2.09412934282515,"Centaurium"
"Centaurium pulchellum",NA,-0.0152896308257858,-2.56660358940037,NA,NA,"Centaurium"
"Centranthus ruber",NA,-0.778663287711026,NA,NA,NA,"Centranthus"
"Cephalanthera damasonium",-0.0956746232920653,NA,0.166215778605975,NA,-2.54408775683305,"Cephalanthera"
"Cerastium glomeratum",-0.934054703007189,-0.473291511124703,-0.885213115376788,-0.891103977902273,NA,"Cerastium"
"Cerastium pumilum",-2.04726973315894,NA,-2.00709868224428,-2.01250045213251,NA,"Cerastium"
"Cerastium semidecandrum",NA,-0.0159634423583266,-1.6138554873417,-1.79574117173497,-1.5841708569023,"Cerastium"
"Chaerophyllum bulbosum",NA,NA,1.25816828798546,1.11520346660614,0.362213468648114,"Chaerophyllum"
"Chaerophyllum temulum",NA,0.78448673787558,NA,1.62189134650792,0.48189592535144,"Chaerophyllum"
"Chelidonium majus",0.178028372344437,NA,0.909898243727568,1.20327511311126,-0.145904666176583,"Chelidonium"
"Chenopodium album",0.211414531138857,-0.321678668552643,0.666740715307827,NA,-0.210357666055904,"Chenopodium"
"Chondrilla juncea",0.243668735133147,0.413663212749134,-0.264218317292392,-0.608531659572928,-0.192878191472512,"Chondrilla"
"Cichorium intybus",0.455969272080591,-0.825420517682191,1.33498900526968,NA,0.274823357070458,"Cichorium"
"Circaea lutetiana",-0.216267197030858,0.113222988384589,0.281843835919917,0.541362448035406,0.279474517109553,"Circaea"
"Cirsium arvense",0.762402056773662,-0.716944663797894,0.792750345576589,0.741562494000786,0.103970805126264,"Cirsium"
"Cirsium vulgare",0.802893610036897,NA,NA,1.29810118178726,NA,"Cirsium"
"Clematis vitalba",NA,NA,0.769356446169592,NA,NA,"Clematis"
"Clinopodium vulgare",NA,0.879001723628822,0.0596827480279271,0.0550989726215404,-0.411495356715053,"Clinopodium"
"Conium maculatum",NA,0.375668240754732,1.88764370707606,2.14295028881092,0.409124286149961,"Conium"
"Convolvulus arvensis",NA,-0.192575950384269,NA,0.08899649449486,NA,"Convolvulus"
"Coriandrum sativum",NA,-0.757114813341536,-0.255452125856093,0.108408043623373,NA,"Coriandrum"
"Cornus mas",2.09502301834168,0.417776614797458,0.235856633922815,0.362283331941672,2.96889606265418,"Cornus"
"Crataegus laevigata",NA,NA,-0.0309560645018379,NA,NA,"Crataegus"
"Crepis biennis",0.376639350848065,NA,0.788694423078115,0.983122328017712,0.12752421822589,"Crepis"
"Crepis capillaris",NA,-1.03576854775594,0.133412882783427,0.270844374580183,-0.738984658868502,"Crepis"
"Crepis vesicaria",0.0548609448086571,-0.275326003177619,0.218445080787977,0.0677446871952322,NA,"Crepis"
"Crithmum maritimum",-0.516037793087302,-1.86586459181229,NA,-0.670456567715949,NA,"Crithmum"
"Cruciata laevipes",-0.296715763774127,NA,-1.31493103717657,-1.25018124033907,0.716426271164591,"Cruciata"
"Cymbalaria muralis",NA,-2.0765196275314,NA,-0.0436501055755409,NA,"Cymbalaria"
"Cynodon dactylon",-1.19688434718148,0.504859717601149,NA,-1.112704145749,NA,"Cynodon"
"Cynosurus cristatus",NA,0.764779391012155,-0.624222682358424,-0.533162674502178,NA,"Cynosurus"
"Cyperus longus",0.35149054132259,0.701202498508938,0.168986599496453,0.14362849978084,-1.3281560486717,"Cyperus"
"Dactylis glomerata",0.151847502337208,0.92502982915021,0.114529027418262,0.223121389560671,-0.0459135673271091,"Dactylis"
"Danthonia decumbens",-1.2875632049385,NA,-0.507287889724124,-0.488363497192866,0.179651040082267,"Danthonia"
"Daphne laureola",NA,1.06247448584529,NA,NA,2.22468286889797,"Daphne"
"Daphne mezereum",0.645157549471651,NA,-0.253926964755332,NA,1.81355344333042,"Daphne"
"Datura stramonium",1.2061138313997,-0.900151132973175,1.42716380779178,1.45135428135925,NA,"Datura"
"Deschampsia cespitosa",NA,1.59237657080454,-0.10262763410092,-0.540839219842557,NA,"Deschampsia"
"Digitalis lutea",NA,-0.20525975499162,0.712148720027616,0.711850869030283,-1.10642329733241,"Digitalis"
"Digitaria ischaemum",-0.840398040323841,-0.307999461459672,-0.853237669554342,NA,-0.14074435638735,"Digitaria"
"Digitaria sanguinalis",-0.676898348734221,-0.228306586796544,-0.774093412961866,-0.628227301351856,-0.0160205727815625,"Digitaria"
"Diplotaxis muralis",-0.782719296358072,-0.752540295106979,-0.0807547546217266,-0.154220058911319,-0.751890388274814,"Diplotaxis"
"Diplotaxis tenuifolia",-0.0956746232920653,-1.31858152371466,NA,NA,-0.606173760720158,"Diplotaxis"
"Dipsacus fullonum",0.802893610036897,-0.278830380070076,NA,1.70808422519954,0.476910244975762,"Dipsacus"
"Drosera intermedia",-2.28637226492581,-0.132536167402349,-1.95309286242137,-1.99317321164758,-1.70380553254441,"Drosera"
"Drosera rotundifolia",-1.47058734281799,-0.847728793820874,-1.47264776354494,-1.26769054452781,-1.93993735695098,"Drosera"
"Echinochloa crus-galli",0.376639350848065,0.0617607011734045,0.333444689155052,0.45955441619013,NA,"Echinochloa"
"Echium vulgare",0.107521462385979,-0.710500839556515,0.992127120717223,0.825833009971279,0.519274351258429,"Echium"
"Eleocharis multicaulis",-0.2423347974508,1.12095694267568,-0.283776953840952,NA,-0.253641148381672,"Eleocharis"
"Eleusine indica",-1.2875632049385,0.48531405731813,NA,NA,-0.378253818137895,"Eleusine"
"Elymus repens",NA,1.0298942586803,0.387914396204187,0.481770682520081,NA,"Elymus"
"Epilobium hirsutum",0.934330933079448,0.305572846375235,NA,0.578120006641517,NA,"Epilobium"
"Epilobium montanum",-0.0956746232920653,0.565475950856552,NA,0.441086870095068,-0.992853059153316,"Epilobium"
"Epilobium parviflorum",0.107521462385979,-0.387272766474732,NA,-0.105485320102038,-1.21705651668771,"Epilobium"
"Eragrostis minor",-1.07526266799105,0.65443082664589,NA,-1.10438914198492,NA,"Eragrostis"
"Erodium cicutarium",0.417130904111299,0.21977290200064,NA,0.320783071488288,NA,"Erodium"
"Erodium moschatum",NA,-1.21633287597537,NA,1.1622091786575,0.00121962370764238,"Erodium"
"Eryngium campestre",-0.303737256139857,0.645219257685169,2.25820224737287,1.86180570098787,NA,"Eryngium"
"Eryngium maritimum",-0.216267197030858,-0.822486224776116,1.45712137063902,1.02797377129968,NA,"Eryngium"
"Eupatorium cannabinum",0.903134436695246,0.227658236865973,0.995112806993982,1.01280414938556,-0.533469449211654,"Eupatorium"
"Euphorbia amygdaloides",NA,1.15363469396471,-0.553139408715291,-0.588695281009683,0.685899380161633,"Euphorbia"
"Euphorbia dulcis",-0.2423347974508,NA,-0.596066927611983,-0.432576881020934,NA,"Euphorbia"
"Euphorbia esula",0.0890469421514717,0.478187165657637,-1.2548483718966,-1.13420010486848,0.59879655318817,"Euphorbia"
"Euphorbia exigua",-1.12740765702838,NA,NA,NA,-0.573628186887462,"Euphorbia"
"Euphorbia helioscopia",NA,0.156432785071953,NA,NA,NA,"Euphorbia"
"Euphorbia palustris",0.879046874237174,NA,-0.145100695762697,-0.229788942484034,1.07608777807684,"Euphorbia"
"Euphorbia peplus",NA,-0.12402557556731,-1.57711710468083,-1.31724093517758,NA,"Euphorbia"
"Fallopia convolvulus",0.546648129837603,0.201171526341883,0.053821595091972,-0.241375469046244,0.668422966208213,"Fallopia"
"Fallopia dumetorum",1.50119767956829,0.390005813728129,0.387695498653027,0.252087066489477,0.585270426609664,"Fallopia"
"Filago pyramidata",-0.917790924109624,1.09806002280651,-1.91257351302345,-1.78549939912195,-1.43369084271512,"Filago"
"Filipendula vulgaris",-0.166181533250523,1.23573729308845,0.643205302433473,0.693083909966194,-0.116552705242103,"Filipendula"
"Foeniculum vulgare",NA,0.624780355445699,NA,NA,0.476091360481933,"Foeniculum"
"Fragaria vesca",-1.21140994073822,1.96517563531596,NA,NA,1.43329426486786,"Fragaria"
"Frangula alnus",NA,0.858286502779569,NA,0.00763908293632852,2.31927890830133,"Frangula"
