"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Narcissus pseudonarcissus",0.225,137.5,92.41273817,1773.5,5.81173333333333,"Narcissus"
"Nasturtium officinale",0.24,97.5,29.09564568,1435,0.1932,"Nasturtium"
"Nigella arvensis",0.23,NA,8.135,188.54,2,"Nigella"
"Nigella damascena",0.3875,179.6,80.92,2361,2.1095,"Nigella"
"Nymphaea alba",0.03,181,2682.7,39342,1.90181818181818,"Nymphaea"
"Oenanthe aquatica",0.6,136.45,209.953333333333,4890.25,2.7778,"Oenanthe"
"Oenanthe fistulosa",0.425,NA,14.7166666666667,NA,4.39111428571429,"Oenanthe"
"Oenanthe lachenalii",1,NA,77.06,1180.92,1.50885714285714,"Oenanthe"
"Onobrychis viciifolia",0.275,244.2425,164.049656625,3134.4375,20.11705,"Onobrychis"
"Orchis militaris",0.2,111.96,292.82,6088,0.001,"Orchis"
"Origanum vulgare",0.408333333333333,233,23.36623932,511,0.09555,"Origanum"
"Orlaya grandiflora",0.2825,168.19,76.13,1618,12.833,"Orlaya"
"Oxalis acetosella",0.0925,129.785,7.689057145,806,0.961,"Oxalis"
"Oxalis corniculata",0.15,149.72,2.62,NA,0.1884,"Oxalis"
"Papaver dubium",0.474,175.75,224.6422113475,4627,NA,"Papaver"
"Papaver rhoeas",0.3675,NA,166.81395105,4986.5,0.109333333333333,"Papaver"
"Papaver somniferum",0.7,177.78,272,10398,0.454666666666667,"Papaver"
"Parietaria judaica",0.3125,185.5,24.25055129,857,0.200185714285714,"Parietaria"
"Parietaria officinalis",NA,147.535,46.6875,2965,0.389,"Parietaria"
"Paris quadrifolia",0.2,176,37.85083333,1325,NA,"Paris"
"Parthenocissus inserta",10,220.24,NA,13662.25,20.42,"Parthenocissus"
"Pastinaca sativa",0.6,152,382.97528855,14914.5,3.90314285714286,"Pastinaca"
"Petasites albus",0.425,121.063333333333,919.5,NA,0.234,"Petasites"
"Petasites hybridus",0.575,201.5,7596.7887335,NA,0.23038,"Petasites"
"Petrorhagia prolifera",NA,231.15,3.345,58.25,0.3506114286,"Petrorhagia"
"Phacelia tanacetifolia",0.575,131.55,120.36,NA,1.199,"Phacelia"
"Phalaris arundinacea",1.45,263,128.7016232,3366,NA,"Phalaris"
"Phleum pratense",0.371,276.142857142857,9.90727713383333,380,0.58775,"Phleum"
"Phragmites australis",2.5,403.1,348.394385533333,6925.875,0.134285714285714,"Phragmites"
"Picris hieracioides",0.6375,182.652,77.42508472,2327.55,1.108,"Picris"
"Pinus sylvestris",34.5,299.114285714286,10.81,65.9428571428572,7.572,"Pinus"
"Plantago coronopus",NA,102.65,10.0528403756667,187.6875,0.1661875,"Plantago"
"Plantago lanceolata",0.16125,166.90125,82.787456325,2567,1.61675087721053,"Plantago"
"Plantago major",0.37,107,1016.91327,NA,0.267838095285714,"Plantago"
"Plantago media",0.171666666666667,145.333333333333,297.734964233333,4827.66666666667,NA,"Plantago"
"Poa annua",0.085,241.25,3.2107676125,138.333333333333,0.223701578947368,"Poa"
"Poa bulbosa",0.11,215.06,0.8,16.08,0.404312,"Poa"
"Poa compressa",0.375,282.333333333333,7.362884197,170,0.204577777777778,"Poa"
"Poa nemoralis",0.5,NA,8.8386436935,536.5,0.181745454545455,"Poa"
"Poa palustris",0.8175,334.45,NA,55,0.15525,"Poa"
"Poa pratensis",0.3,308.59,35.79994805,1025,0.272595238142857,"Poa"
"Polygala vulgaris",0.0533333333333333,221.103333333333,2.44147959175,53.5425,1.74691428571429,"Polygala"
"Polygonatum multiflorum",0.445,148.21,48.355,2038.25,94.4226857142857,"Polygonatum"
"Polygonatum odoratum",0.3,167.22,86.835,2270,264.304333333333,"Polygonatum"
"Polygonatum verticillatum",0.42,147.63,24.28,1003,66.47416665,"Polygonatum"
"Polygonum aviculare",1.1375,207.5,13.0084166415,361.5,1.82,"Polygonum"
"Populus nigra",25,304.965,240.4625,2784.625,0.8,"Populus"
"Populus tremula",19.5,369.835,165.02125,2513.3125,0.1,"Populus"
"Portulaca oleracea",0.166666666666667,108.92,1.395,25.725,0.33592,"Portulaca"
"Potentilla erecta",NA,303.956666666667,5.734158679,148.5,0.4821375,"Potentilla"
"Potentilla reptans",NA,240.6475,53.724764885,2176.5,NA,"Potentilla"
"Primula veris",0.133333333333333,214.666666666667,245.141161463333,4080.66666666667,0.803173333333333,"Primula"
"Primula vulgaris",0.115,154,224.4014594,6409,1.13632,"Primula"
"Prunella vulgaris",0.123333333333333,164.37,16.108351258,NA,NA,"Prunella"
"Prunus mahaleb",5,288.81,34.215,753.4,87.7,"Prunus"
"Pulicaria dysenterica",0.45,142.5,39.326361505,1199.5,0.0895,"Pulicaria"
"Radiola linoides",0.03875,232.595,0.133333333333333,3.22,0.01185,"Radiola"
"Ranunculus acris",0.2575,197.05,NA,620.705161290323,1.72743,"Ranunculus"
"Ranunculus arvensis",0.308333333333333,139,21.02608696,576,12.6125666666667,"Ranunculus"
"Ranunculus bulbosus",0.175,188.333333333333,55.8249725833333,1081.33333333333,2.86775396828571,"Ranunculus"
"Ranunculus flammula",0.215,173.91,33.40150528,656.583333333333,0.4472,"Ranunculus"
"Ranunculus lanuginosus",0.425,153.62,236.14,5917.375,1.3,"Ranunculus"
"Ranunculus lingua",0.8175,196.3,173.53,NA,1.70236666666667,"Ranunculus"
"Ranunculus repens",0.241666666666667,181.104,193.94,3593.55555555556,2.24169696972727,"Ranunculus"
"Ranunculus sardous",0.166666666666667,125.11,21.235,734.5,1.38412,"Ranunculus"
"Ranunculus sceleratus",0.258333333333333,123.04,39.0731315533333,NA,0.130333333333333,"Ranunculus"
"Raphanus raphanistrum",0.32,120,286.623364713333,NA,26.23965,"Raphanus"
"Rapistrum rugosum",0.5125,NA,28.3,NA,3.13,"Rapistrum"
"Reseda alba",0.45,127.505,NA,1692.625,0.562,"Reseda"
"Reseda lutea",0.366666666666667,155.333333333333,59.3915360233333,1090,0.677133333333333,"Reseda"
"Reseda luteola",0.6925,166.4425,58.982271808,1097.125,0.292012121181818,"Reseda"
"Rhynchospora alba",0.25,334.91,16.09,288,0.44684,"Rhynchospora"
"Rorippa amphibia",0.625,110,320.3,12853,NA,"Rorippa"
"Rorippa sylvestris",0.283333333333333,106.5,39.464452345,1154.33333333333,NA,"Rorippa"
"Rosa agrestis",1.33333333333333,376.105,NA,337.65,18.7504,"Rosa"
"Rubia peregrina",0.381333333333333,226.946666666667,26.85598549,303,19.9590666666667,"Rubia"
"Rubus caesius",0.475,386.666666666667,553.580980866667,9655.33333333333,3.7628451,"Rubus"
"Rumex acetosa",0.505,102.11,128.532104972,NA,0.944641666666667,"Rumex"
"Rumex acetosella",0.15,113.932,9.713070759,204.666666666667,0.36007,"Rumex"
"Rumex conglomeratus",0.725,179,190.2946116,4190,0.899563157894737,"Rumex"
"Rumex crispus",0.641666666666667,105,239.6959134,6290,NA,"Rumex"
"Rumex maritimus",0.625,135.845,215.54662385,5718,0.2308625,"Rumex"
"Rumex obtusifolius",0.508333333333333,145.763333333333,1449.891121,43260.25,1.155,"Rumex"
"Rumex sanguineus",0.7875,202,NA,4734,1.06821,"Rumex"
"Sagina apetala",0.04,238.666666666667,0.321621621666667,4.66666666666667,0.0125278571428571,"Sagina"
"Sagina procumbens",0.13,NA,0.425,NA,0.0157037036666667,"Sagina"
"Sagittaria sagittifolia",0.42,106.134,354.65,6404.9,1.55783333333333,"Sagittaria"
"Salix alba",15.1666666666667,298.615,63.3575,782.125,0.12,"Salix"
"Salix cinerea",2.75,438.765,152.705,662.875,0.067,"Salix"
"Salsola kali",0.5125,86.74,NA,62.5,5.8276,"Salsola"
"Salvia glutinosa",0.475,102.89,213.42,11482.75,4.682,"Salvia"
"Salvia officinalis",NA,239.133333333333,53.898,NA,6.58,"Salvia"
"Sambucus ebulus",0.85,173.85,978.51908015,18801.25,63.6874,"Sambucus"
"Samolus valerandi",0.195,169.81,9.2025,191.75,0.0257714285714286,"Samolus"
"Sanicula europaea",0.275,198,70.91322567,2414,2.87321071428571,"Sanicula"
"Saponaria officinalis",0.458333333333333,199.5,108.266890165,2165.5,1.51482807015789,"Saponaria"
"Saxifraga tridactylites",0.0483333333333333,NA,2.12245614033333,38,0.01372,"Saxifraga"
"Scabiosa columbaria",0.283333333333333,171.333333333333,244.462171073333,NA,1.95181818181818,"Scabiosa"
"Scandix pecten-veneris",0.233333333333333,128.12,31.27,835.77,NA,"Scandix"
"Schoenus nigricans",0.3,383.546666666667,134.3575,749.166666666667,0.6411125,"Schoenus"
"Scilla bifolia",0.15,NA,53.45,2376.75,NA,"Scilla"
"Scleranthus annuus",0.09,135.515,0.633333333333333,9.935,1.38269473684211,"Scleranthus"
"Scrophularia auriculata",NA,NA,743.865842466667,15875.6666666667,NA,"Scrophularia"
"Scrophularia canina",0.3,165.21,21.045,347.26,0.233333333333333,"Scrophularia"
"Scrophularia nodosa",0.583333333333333,182,NA,8166,0.0952,"Scrophularia"
"Scutellaria galericulata",0.241666666666667,211.043333333333,NA,640.416666666667,0.689433333285714,"Scutellaria"
"Sedum album",0.095,49.96,NA,23.5,0.02,"Sedum"
"Sedum cepaea",NA,53.08,1.37,30.33,0.037,"Sedum"
"Sedum dasyphyllum",0.045,25.24,0.82,19.33,0.026,"Sedum"
"Sedum sexangulare",0.1575,108.18,0.5,NA,0.01,"Sedum"
"Senecio inaequidens",0.6,184.28,11.66,281.375,0.278533333333333,"Senecio"
"Senecio sylvaticus",0.375,114,180.9838344,5336,0.241066666666667,"Senecio"
"Senecio vulgaris",0.2,84,17.58510305,513,0.269,"Senecio"
"Serratula tinctoria",0.5,190.693333333333,165.05529038,4699.35,2.72874,"Serratula"
"Setaria italica",0.785,206.32,235.805,5638.5,2.967,"Setaria"
"Setaria pumila",0.46,216.37,75.09,1890.75,1.76825,"Setaria"
"Setaria viridis",0.5125,274.61,40.7433333333333,1000.75,1.09228571428571,"Setaria"
"Sherardia arvensis",0.133333333333333,188.5,0.545879121,12.5,1.79741181818182,"Sherardia"
"Silene dioica",0.5632,112,73.28121435,3533,0.7729775,"Silene"
"Silene gallica",0.265,131.18,11.83,449,0.32874125,"Silene"
"Silene latifolia",0.475,142.5,78.064886605,1762.5,0.964555555555556,"Silene"
"Silene otites",0.291666666666667,227.305,21.195,170,NA,"Silene"
"Silene vulgaris",0.27,166,63.76327682,1179.5,0.939154074066667,"Silene"
"Sinapis alba",0.385,141.095,84.21,NA,3.85288,"Sinapis"
"Sinapis arvensis",0.383333333333333,109.666666666667,326.701141876667,9290.66666666667,2.34714761904762,"Sinapis"
"Sisymbrium officinale",0.416666666666667,139,230.985814786667,6344.33333333333,0.270333333333333,"Sisymbrium"
"Smyrnium olusatrum",0.75,155,172.7079101,6838,NA,"Smyrnium"
"Solanum dulcamara",0.866666666666667,170.561666666667,82.3569254,NA,29.892110294125,"Solanum"
"Solidago virgaurea",0.5,227,94.48678888,2302.5,0.6059,"Solidago"
"Sonchus arvensis",0.875,138.666666666667,549.532790933333,12192,0.79525,"Sonchus"
"Sonchus asper",0.475,123.666666666667,216.369764033333,5417.33333333333,0.280333333363636,"Sonchus"
"Sonchus oleraceus",1.075,118.5,NA,10611.5,0.325,"Sonchus"
"Sparganium erectum",NA,147.033333333333,918.5615297,13862,18.3422,"Sparganium"
"Spergula arvensis",0.2,145,1.6935855265,NA,0.346436363636364,"Spergula"
"Spergularia media",0.175,108.655,NA,20.875,0.1,"Spergularia"
"Spergularia rubra",0.106666666666667,135,NA,14,0.0324090909090909,"Spergularia"
"Stachys arvensis",0.15,171,7.3076419215,217.5,0.7227,"Stachys"
"Stachys recta",0.325,210.805,25.265,740.5,1.708,"Stachys"
"Stellaria media",0.166666666666667,84,8.7462351015,488,0.3852,"Stellaria"
"Stellaria neglecta",NA,84,5.9302861625,416,0.847466666666667,"Stellaria"
"Suaeda maritima",0.16,84.2525,2.574,32.25,0.798933333333333,"Suaeda"
"Symphytum officinale",0.566666666666667,81.73,342.17,8816.25,NA,"Symphytum"
"Symphytum tuberosum",0.258333333333333,115.37,84.29,NA,6.2392857,"Symphytum"
"Syringa vulgaris",6,327.285,275.31,2339.16666666667,5.38454545454545,"Syringa"
"Tanacetum corymbosum",0.675,200.425,61.1875,NA,NA,"Tanacetum"
"Tanacetum parthenium",0.29,172,125.5838601,4563,0.109028571428571,"Tanacetum"
"Tanacetum vulgare",0.825,221,427.99081735,8376,0.293024,"Tanacetum"
"Teucrium chamaedrys",0.14,305.71,7.59,134,1.22,"Teucrium"
"Teucrium montanum",0.2,264.12,2.455,45,0.776,"Teucrium"
"Teucrium scordium",0.25,NA,NA,202,0.52502,"Teucrium"
"Teucrium scorodonia",0.25,378.5,87.47340247,939,0.875138461538462,"Teucrium"
"Thalictrum aquilegiifolium",0.675,205.36,1340,44940,NA,"Thalictrum"
"Thalictrum flavum",0.6,246,1133.827826,32542.5,1.40413,"Thalictrum"
"Tilia platyphyllos",30,NA,160.91,6034.25,NA,"Tilia"
"Tordylium maximum",0.7175,222.255,299.28,8778.25,2.8844,"Tordylium"
"Torilis arvensis",0.55,196.49,38.025,984.5,NA,"Torilis"
"Torilis japonica",0.441666666666667,NA,138.95686189,3936.66666666667,1.77816666666667,"Torilis"
"Torilis nodosa",0.3625,331.7,4.705,65.5,1.4888,"Torilis"
"Tragopogon dubius",0.425,198.33,12,321.5,8.244,"Tragopogon"
"Tragopogon porrifolius",0.57,NA,46.39,1398.57,NA,"Tragopogon"
"Tragopogon pratensis",0.35,188.5,82.326555245,1507.5,10.3430375,"Tragopogon"
"Trifolium arvense",0.146666666666667,296.07,11.9355379575,233,0.328710833333333,"Trifolium"
"Trifolium campestre",0.2875,250.25,6.03144394166667,180.666666666667,0.331452142857143,"Trifolium"
"Trifolium dubium",0.225,199.5,4.165833614,135.5,0.467240217391304,"Trifolium"
"Trifolium fragiferum",0.1875,223.073333333333,7.165360825,192,2.11377,"Trifolium"
"Trifolium hybridum",0.35,239.91,68.0123642057143,1675.95,1.01908333325,"Trifolium"
"Trifolium incarnatum",NA,186.63,67.3725,1841.625,2.8131,"Trifolium"
"Trifolium medium",0.4,263,65.74024296,1437,2.1266,"Trifolium"
"Trifolium micranthum",0.0516666666666667,NA,0.8,23,0.3264,"Trifolium"
"Trifolium pratense",0.283333333333333,223.3975,32.58394007,715.5,1.58055555555556,"Trifolium"
"Trifolium repens",0.35,185.6875,11.75808095,682,0.5900266666,"Trifolium"
"Trifolium resupinatum",0.14,168.665,7.76,277.62,0.681666666666667,"Trifolium"
"Trifolium rubens",0.425,274.065,57.665,929.42,2.04,"Trifolium"
"Trinia glauca",0.123333333333333,223.26,46.815,564.955,1.84010909090909,"Trinia"
"Triticum aestivum",1.1125,234.48,134.4,NA,43.3333333333333,"Triticum"
"Trollius europaeus",0.275,193,290.079134466667,5348.33333333333,0.891823076923077,"Trollius"
"Tussilago farfara",0.185,139,NA,48997.5,0.225233333333333,"Tussilago"
"Typha angustifolia",1.5,265.815,1539.6,9562,0.10285,"Typha"
"Typha latifolia",1.5,198.816666666667,1569.79115446667,17522,0.0581076923076923,"Typha"
"Ulex europaeus",0.933333333333333,301.9925,3.645,14.5,6.12,"Ulex"
"Ulmus glabra",33.3333333333333,254.07,114.6725,3395.23333333333,11.48855,"Ulmus"
"Ulmus laevis",35,218.695,98.445,4532.25,8,"Ulmus"
"Ulmus minor",30.25,246.405,64.7225,1734.255,9,"Ulmus"
"Umbilicus rupestris",0.175,48,60.2,1744,0.0071,"Umbilicus"
"Urtica dioica",0.875,212.5,101.221290945,3841.5,NA,"Urtica"
"Urtica urens",0.266666666666667,214,21.70206379,NA,0.5132,"Urtica"
"Vaccinium myrtillus",0.3135,331.833333333333,4.04454545454545,72.3027586206897,NA,"Vaccinium"
"Valeriana officinalis",0.525,140,408.03994595,12333,0.942,"Valeriana"
"Valerianella carinata",0.176666666666667,106.333333333333,5.533503827,185.666666666667,0.542,"Valerianella"
"Valerianella locusta",0.135,103,NA,152,0.738755555555556,"Valerianella"
"Verbascum densiflorum",1.1025,190.3675,827.66,15287.2925,0.099,"Verbascum"
"Verbascum nigrum",0.691666666666667,164,1532.4,28632,0.11548,"Verbascum"
"Verbascum pulverulentum",0.725,NA,1845.1,NA,0.16596,"Verbascum"
"Verbascum thapsus",0.783333333333333,213.666666666667,1595.28015066667,21628.3333333333,0.103033333333333,"Verbascum"
"Verbena officinalis",0.36375,236.95,26.92,377.25,0.389,"Verbena"
"Veronica anagallis-aquatica",NA,107.333333333333,65.39724673,NA,0.0420666666666667,"Veronica"
"Veronica arvensis",0.113333333333333,NA,4.1472318365,151.666666666667,0.118771428571429,"Veronica"
"Veronica beccabunga",0.333333333333333,136.666666666667,34.47380872,798.666666666667,0.425233333333333,"Veronica"
"Veronica catenata",0.28125,123.63,NA,361.75,0.0321888888888889,"Veronica"
"Veronica chamaedrys",0.25,270.46,NA,NA,0.206428571428571,"Veronica"
"Veronica hederifolia",0.19,91.8875,10.29783229,261.75,4.1612,"Veronica"
"Veronica montana",0.258333333333333,272,19.99226158,458,0.4069628571,"Veronica"
"Veronica officinalis",NA,280,10.4751908395,54,0.122816666666667,"Veronica"
"Veronica peregrina",0.108333333333333,131.006666666667,1.60666666666667,45.3633333333333,0.0316,"Veronica"
"Veronica persica",0.2,120.333333333333,13.705448128,495.333333333333,0.565,"Veronica"
"Veronica polita",0.325,144.666666666667,3.45969468266667,108.333333333333,0.314133333333333,"Veronica"
"Veronica scutellata",0.166666666666667,215.875,2.965,74.625,0.473757142857143,"Veronica"
"Veronica serpyllifolia",0.141666666666667,175,8.018957346,188,0.0493466666666667,"Veronica"
"Viburnum lantana",3.5,234.895,211.68,3869.5,34.95424,"Viburnum"
"Vicia cracca",0.883333333333333,NA,29.260000955,971.5,16.0832363636364,"Vicia"
"Vicia ervilia",0.41,180.11,NA,315.16,43.5186666666667,"Vicia"
"Vicia faba",0.75,114.95,326.85,9222,1390,"Vicia"
"Vicia hirsuta",0.275,240.333333333333,NA,305.333333333333,5.99044,"Vicia"
"Vicia sativa",0.55,NA,56.185459305,1286,31.0473333333333,"Vicia"
"Vicia sepium",0.466666666666667,186,24.55676856,1242,NA,"Vicia"
"Vinca minor",NA,195,21.85865895,565,6.13,"Vinca"
"Vincetoxicum hirundinaria",0.75,159.415,28.2075,1513.5,7.42333333333333,"Vincetoxicum"
"Viola arvensis",0.191666666666667,167.5,23.09604869,546.5,0.468,"Viola"
"Viola canina",0.1,245,12.71737374,238,1.08548,"Viola"
"Viola hirta",0.075,236.5,169.82454575,NA,3.09404,"Viola"
"Viola odorata",0.2375,220,86.57567665,1975.5,2.25653333333333,"Viola"
"Viola reichenbachiana",0.12,225.695,17.52,NA,2.0248,"Viola"
"Viola riviniana",0.135,296,28.96341463,532,1.20026666666667,"Viola"
"Viola tricolor",0.25,168.533333333333,14.70291069,440.5,0.793276923076923,"Viola"
"Vitis vinifera",NA,159.8,414.2375,14390.125,18,"Vitis"
"Zea mays",2,195.22,1366.6,32702.75,NA,"Zea"
