"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Brassica rapa",0.598333333333333,141.396666666667,135.13456938,3315.66666666667,2.1388,"Brassica"
"Briza media",0.165,298.035,26.9652498225,644,0.40112222225,"Briza"
"Bromus arvensis",0.332,NA,40.63,1085,2.62566666666667,"Bromus"
"Bromus commutatus",0.5,221.25,31.3225,920.875,5.2019,"Bromus"
"Bromus madritensis",0.19,NA,2.5543175,156.416666666667,2.56333333333333,"Bromus"
"Bromus sterilis",0.375,230.75,15.2497606843333,467.333333333333,7.4854,"Bromus"
"Buddleja davidii",1.83333333333333,229.743333333333,77.285,2971.25,0.0567,"Buddleja"
"Butomus umbellatus",NA,120.313333333333,529.97,5805.83333333333,0.1716,"Butomus"
"Cakile maritima",0.208333333333333,88.6266666666667,74.94,885.75,22.4189333333333,"Cakile"
"Calamagrostis epigejos",1,NA,258.194429533333,4994.5,0.0797333334,"Calamagrostis"
"Calendula arvensis",0.15,93.24,40.83,948,3.585,"Calendula"
"Callitriche palustris",0.00875,108.82,0.595,NA,NA,"Callitriche"
"Calystegia sepium",1.2875,184,90.88484689,3208,30.272,"Calystegia"
"Calystegia silvatica",2,224,133.9542354,3092,37.133,"Calystegia"
"Campanula rapunculus",0.5,162.5,12.06,617.5,0.0333333333333333,"Campanula"
"Campanula trachelium",0.6,159,92.24660086,3601,NA,"Campanula"
"Cannabis sativa",1.2,238.99,193.23,4865.875,6.4,"Cannabis"
"Capsella bursa-pastoris",0.126666666666667,147.3775,60.8887573225,1842.66666666667,0.0985154545454545,"Capsella"
"Cardamine amara",0.241666666666667,125.666666666667,NA,2515.33333333333,NA,"Cardamine"
"Cardamine bulbifera",0.3975,149.565,NA,2207,2.7,"Cardamine"
"Cardamine flexuosa",0.216666666666667,NA,12.33047046,661,0.122355555555556,"Cardamine"
"Cardamine heptaphylla",NA,137.07,700,28081.25,6.02,"Cardamine"
"Cardamine hirsuta",0.118333333333333,126,11.217289988,337,0.1076,"Cardamine"
"Cardamine impatiens",0.358333333333333,311,7.080032733,239,0.278133333333333,"Cardamine"
"Cardamine parviflora",0.125,NA,2.56,75.575,0.106,"Cardamine"
"Carduus nutans",NA,127.666666666667,286.832203133333,4599,3.23571428571429,"Carduus"
"Carex acuta",NA,331.79,132.83,2455.25,0.424666666666667,"Carex"
"Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667,"Carex"
"Carex caryophyllea",0.09,310,16.593646155,387.5,1.2992,"Carex"
"Carex digitata",NA,274.155,15.652912825,480.25,NA,"Carex"
"Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286,"Carex"
"Carex divulsa",0.275,105,42.36,1403.7,NA,"Carex"
"Carex echinata",0.25,365.5,15.3740942045,218,0.744788235294118,"Carex"
"Carex elata",0.9,344.07,280.38,2693.25,0.75559,"Carex"
"Carex extensa",0.135,320.49,11.52,101.25,1.24503333333333,"Carex"
"Carex flacca",0.275,332.9625,34.84894372,634.75,1.01511818181818,"Carex"
"Carex hirta",0.45,291.2125,74.826634202,1718.5625,2.8165,"Carex"
"Carex pallescens",0.325,264.57,14.635,526.5,1.25258333333333,"Carex"
"Carex pendula",0.5,301.5,1029.6398723,12540,0.721809090909091,"Carex"
"Carex pilulifera",0.1,328,10.26045949,NA,1.22661290322222,"Carex"
"Carex pseudocyperus",0.35,308.56,157.67,3788,0.728615384615385,"Carex"
"Carex punctata",0.14,323.97,27.08,758,1.01422857142857,"Carex"
"Carex remota",0.45,254,12.81434932,318,0.371945454545455,"Carex"
"Carex riparia",1.05,326.64,1187.015,14070.25,1.99093333333333,"Carex"
"Carex rostrata",0.5,245.88,76.815,1182.5,1.18026666666667,"Carex"
"Carex spicata",0.275,NA,16.29,324.333333333333,2.38878,"Carex"
"Carex strigosa",0.625,160.94,76.005,2395.875,NA,"Carex"
"Carex sylvatica",0.425,324,29.75434925,677,1.66395384615385,"Carex"
"Carex vesicaria",0.55,NA,99.85,1222,1.39118888888889,"Carex"
"Carlina acaulis",0.31,183.38,391.485,4001.14,4.08333333333333,"Carlina"
"Carpinus betulus",17.875,258.685,NA,2268.52,NA,"Carpinus"
"Carthamus tinctorius",NA,145.99,136.45,1930.5,26.152,"Carthamus"
"Centaurea calcitrapa",0.35,165.83,73.14,NA,2.3032,"Centaurea"
"Centaurea nigra",NA,154.333333333333,132.657338776667,3440,2.49422857142857,"Centaurea"
"Centaurea solstitialis",0.64,183.82,36.115,961.25,1.682,"Centaurea"
"Centaurium erythraea",0.14125,259.833333333333,11.9113359736667,251.5,0.0127692307692308,"Centaurium"
"Centaurium pulchellum",0.0633333333333333,NA,0.25,16.83,0.0128111111111111,"Centaurium"
"Centranthus ruber",0.433333333333333,138.41,130.3674311,3105.625,2.0025,"Centranthus"
"Cephalanthera damasonium",0.35,166.065,55.2666666666667,1607.25,0.005,"Cephalanthera"
"Cerastium glomeratum",0.145,155.235,6.92513087175,176.666666666667,0.053294,"Cerastium"
"Cerastium pumilum",0.045,120.28,NA,21.25,0.0662,"Cerastium"
"Cerastium semidecandrum",0.06,184.333333333333,1.641782751,32,0.0369536363636364,"Cerastium"
"Chaerophyllum bulbosum",0.85,NA,477.82,7812.23,2.13333333333333,"Chaerophyllum"
"Chaerophyllum temulum",0.491666666666667,249,783.1828877,20341,2.73757894736842,"Chaerophyllum"
"Chelidonium majus",0.466666666666667,186.5,240.14783215,NA,0.74,"Chelidonium"
"Chenopodium album",0.483333333333333,164.333333333333,148.549258353333,NA,0.647,"Chenopodium"
"Chondrilla juncea",0.5,216.62,23.615,301.25,0.671,"Chondrilla"
"Cichorium intybus",0.625,136,556.1217391,17537,1.77817333333333,"Cichorium"
"Circaea lutetiana",0.308333333333333,193.5,69.448388015,2643,1.79549090909091,"Circaea"
"Cirsium arvense",0.8625,141.656666666667,190.5354895,NA,1.24554444444444,"Cirsium"
"Cirsium vulgare",NA,140.718,772.965,11035.5,2.477741666625,"Cirsium"
"Clematis vitalba",20,238,181.9306757,5633,2.61067654318519,"Clematis"
"Clinopodium vulgare",0.375,258,NA,1055,0.425483333333333,"Clinopodium"
"Conium maculatum",2.075,213.55,1656.91385666667,54419.815,2.3524,"Conium"
"Convolvulus arvensis",0.2626,172.5,40.729062745,1124.75,12.4924,"Convolvulus"
"Coriandrum sativum",0.46,139.535,24.0275,1166.75,10.3166666666667,"Coriandrum"
"Cornus mas",NA,216.955,63.4175,NA,487.533333333333,"Cornus"
"Crataegus laevigata",6,349.89,37.4375,730,275.9989,"Crataegus"
"Crepis biennis",NA,132.5,189.01499035,6087.5,1.3082,"Crepis"
"Crepis capillaris",0.275,125.666666666667,51.79898105,1585.66666666667,0.215039166666667,"Crepis"
"Crepis vesicaria",0.41,167.22,61.2733333333333,1080.5,0.38537,"Crepis"
"Crithmum maritimum",0.225,92,24.76510501,268,2.10536666666667,"Crithmum"
"Cruciata laevipes",0.283333333333333,232.666666666667,2.96324171733333,89.6666666666667,4.4628,"Cruciata"
"Cymbalaria muralis",0.25,85,29.256895065,875.5,NA,"Cymbalaria"
"Cynodon dactylon",0.11,224.17,4.89666666666667,116.25,0.13925,"Cynodon"
"Cynosurus cristatus",0.546666666666667,247.163333333333,11.5967224085,347.333333333333,0.547476923076923,"Cynosurus"
"Cyperus longus",0.56,NA,55.57,1247,0.063,"Cyperus"
"Dactylis glomerata",0.454,262.5,NA,1449,0.9114225,"Dactylis"
"Danthonia decumbens",NA,338.635,14.61016854,378,1.4583,"Danthonia"
"Daphne laureola",0.725,276.41,161.84,1518.5,103.4,"Daphne"
"Daphne mezereum",0.7625,NA,24.1,340.9,43.9,"Daphne"
"Datura stramonium",1.375,132.235,667.1875,14739.875,9.03373333333333,"Datura"
"Deschampsia cespitosa",0.4325,337.294,32.495170197619,342.333958333333,0.211112280710526,"Deschampsia"
"Digitalis lutea",0.3,NA,162.49,3647,0.1,"Digitalis"
"Digitaria ischaemum",NA,165.18,7.37666666666667,109.875,0.748,"Digitaria"
"Digitaria sanguinalis",0.19,NA,8.625,NA,0.97,"Digitaria"
"Diplotaxis muralis",0.17,139.775,33.93,710.5,0.209333333333333,"Diplotaxis"
"Diplotaxis tenuifolia",0.35,113,113.47877698,2296,0.2836,"Diplotaxis"
"Dipsacus fullonum",0.9,167,1118.242889,NA,2.70928571428571,"Dipsacus"
"Drosera intermedia",0.035,176.435,NA,22.04,0.0288,"Drosera"
"Drosera rotundifolia",0.0825,NA,2.17,NA,NA,"Drosera"
"Echinochloa crus-galli",NA,189.795,76.90086949,2264.625,2.33476923076923,"Echinochloa"
"Echium vulgare",0.433333333333333,142,282.5035784,4523,2.959325,"Echium"
"Eleocharis multicaulis",0.3,282.55,22.72,172.5,0.5912,"Eleocharis"
"Eleusine indica",0.1,222.53,11.83,288.25,0.456,"Eleusine"
"Elymus repens",0.75,273.0475,85.637022682,2361.66666666667,NA,"Elymus"
"Epilobium hirsutum",1.03333333333333,208,130.14080997,2833,0.127777777777778,"Epilobium"
"Epilobium montanum",0.35,229.333333333333,91.7561712033333,2187,0.1267,"Epilobium"
"Epilobium parviflorum",0.433333333333333,160.333333333333,24.9194993,779,0.079411111,"Epilobium"
"Eragrostis minor",0.125,237.126666666667,3.015,118.09,0.092,"Eragrostis"
"Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,NA,"Erodium"
"Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548,"Erodium"
"Eryngium campestre",0.28125,236.3075,NA,NA,1.37167142857143,"Eryngium"
"Eryngium maritimum",0.308333333333333,NA,707.8625,6625.63,24.7152,"Eryngium"
"Eupatorium cannabinum",NA,202,284.17470285,6438.5,0.32999,"Eupatorium"
"Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776,"Euphorbia"
"Euphorbia dulcis",0.3,238.54,12.26,420,2.121,"Euphorbia"
"Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667,"Euphorbia"
"Euphorbia exigua",0.118333333333333,213,1.073333333,28,0.3035,"Euphorbia"
"Euphorbia helioscopia",0.2,196.666666666667,12.8750590443333,457,2.44,"Euphorbia"
"Euphorbia palustris",0.975,323.76,NA,616,9.4425,"Euphorbia"
"Euphorbia peplus",0.166666666666667,177,NA,79,0.4935,"Euphorbia"
"Fallopia convolvulus",0.6875,200,44.2627872366667,602.666666666667,4.038,"Fallopia"
"Fallopia dumetorum",1.875,214.703333333333,85.6,1530.47666666667,3.3956,"Fallopia"
"Filago pyramidata",0.1475,280.13,0.91,32.625,0.0505633333333333,"Filago"
"Filipendula vulgaris",0.325,295,141.8009479,3520,0.786672727272727,"Filipendula"
"Foeniculum vulgare",1.7875,234.5,1062.4,NA,2.70466666666667,"Foeniculum"
"Fragaria vesca",0.108333333333333,388,132.86116195,2393.5,19.8767266666667,"Fragaria"
"Frangula alnus",3.85714285714286,256,78.8,964.55,125.929142857143,"Frangula"
"Fumaria officinalis",0.6,133,7.147196262,266,3.09202857142857,"Fumaria"
"Galanthus nivalis",NA,102.88,NA,1403.5,6.392,"Galanthus"
"Galega officinalis",0.9,127.73,NA,8986,8.13991111111111,"Galega"
"Galium aparine",0.708333333333333,140,5.69581057933333,161.333333333333,9.44548666666667,"Galium"
