"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","seed_number"
"129","Bromus madritensis",0.19,165.83,2.5543175,156.416666666667,2.56333333333333,NA
"130","Bromus rubens",NA,NA,NA,NA,1.6728333335,NA
"131","Bromus scoparius",NA,NA,NA,NA,1,NA
"132","Bromus sterilis",0.375,230.75,15.2497606843333,467.333333333333,7.4854,NA
"133","Broussonetia papyrifera",NA,NA,NA,NA,2.2,NA
"134","Buddleja davidii",1.83333333333333,229.743333333333,77.285,2971.25,0.0567,NA
"135","Buglossoides purpurocaerulea",0.45,159.52,20.44,714.75,13.3833333333333,NA
"136","Bunias erucago",0.2,NA,NA,NA,33.34,NA
"137","Bupleurum baldense",0.04,NA,NA,NA,0.387,NA
"138","Butomus umbellatus",0.8,120.313333333333,529.97,5805.83333333333,0.1716,NA
"139","Buxus sempervirens",2,396.9,NA,138.75,13.01698,NA
"140","Cakile maritima",0.208333333333333,88.6266666666667,74.94,885.75,22.4189333333333,NA
"141","Calamagrostis epigejos",1,400.033333333333,258.194429533333,4994.5,0.0797333334,NA
"142","Calendula arvensis",0.15,93.24,40.83,948,3.585,NA
"143","Calepina irregularis",0.275,NA,NA,NA,6.205,NA
"144","Callitriche palustris",0.00875,108.82,0.595,58.125,0.076,NA
"145","Callitriche stagnalis",NA,98.0033333333333,0.817043527333333,15.4166666666667,0.0805333333333333,NA
"146","Calluna vulgaris",0.826,287,NA,0.975,0.0291111111111111,NA
"147","Calystegia sepium",1.2875,184,90.88484689,3208,30.272,NA
"148","Calystegia silvatica",2,224,133.9542354,3092,37.133,NA
"149","Calystegia soldanella",0.233333333333333,126.66,57.23,734.5,NA,NA
"150","Campanula medium",0.625,NA,NA,NA,0.367,NA
"151","Campanula patula",0.275,NA,NA,NA,0.0245866666666667,NA
"152","Campanula rapunculus",0.5,162.5,12.06,617.5,0.0333333333333333,NA
"153","Campanula trachelium",0.6,159,92.24660086,3601,0.231155555555556,NA
"154","Cannabis sativa",1.2,238.99,193.23,4865.875,6.4,NA
"155","Capsella bursa-pastoris",0.126666666666667,147.3775,60.8887573225,1842.66666666667,0.0985154545454545,NA
"156","Cardamine amara",0.241666666666667,125.666666666667,48.7516437433333,2515.33333333333,0.258,NA
"157","Cardamine bulbifera",0.3975,149.565,52.8925,2207,2.7,NA
"158","Cardamine flexuosa",0.216666666666667,129,12.33047046,661,0.122355555555556,NA
"159","Cardamine heptaphylla",0.375,137.07,700,28081.25,6.02,NA
"160","Cardamine hirsuta",0.118333333333333,126,11.217289988,337,0.1076,NA
"161","Cardamine impatiens",0.358333333333333,311,7.080032733,239,0.278133333333333,NA
"162","Cardamine parviflora",0.125,164.27,2.56,75.575,0.106,NA
"163","Carduus nutans",0.6,127.666666666667,286.832203133333,4599,3.23571428571429,NA
"164","Carduus pycnocephalus",NA,NA,NA,NA,2.16,NA
"165","Carex acuta",0.9,331.79,132.83,2455.25,0.424666666666667,NA
"166","Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667,NA
"167","Carex caryophyllea",0.09,310,16.593646155,387.5,1.2992,NA
"168","Carex depauperata",0.45,NA,NA,NA,10.76275,NA
"169","Carex digitata",0.1,274.155,15.652912825,480.25,1.445,NA
"170","Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286,NA
"171","Carex divisa",NA,NA,NA,NA,0.76912,NA
"172","Carex divulsa",0.275,105,42.36,1403.7,1.57537142857143,NA
"173","Carex echinata",0.25,365.5,15.3740942045,218,0.744788235294118,NA
"174","Carex elata",0.9,344.07,280.38,2693.25,0.75559,NA
"175","Carex extensa",0.135,320.49,11.52,101.25,1.24503333333333,NA
"176","Carex flacca",0.275,332.9625,34.84894372,634.75,1.01511818181818,NA
"177","Carex flava",NA,245.43,16.185,331,0.861541666666667,NA
"178","Carex hirta",0.45,291.2125,74.826634202,1718.5625,2.8165,NA
"179","Carex pallescens",0.325,264.57,14.635,526.5,1.25258333333333,NA
"180","Carex pendula",0.5,301.5,1029.6398723,12540,0.721809090909091,NA
"181","Carex pilulifera",0.1,328,10.26045949,209,1.22661290322222,NA
"182","Carex praecox",0.165,NA,NA,NA,NA,NA
"183","Carex pseudocyperus",0.35,308.56,157.67,3788,0.728615384615385,NA
"184","Carex punctata",0.14,323.97,27.08,758,1.01422857142857,NA
"185","Carex remota",0.45,254,12.81434932,318,0.371945454545455,NA
"186","Carex riparia",1.05,326.64,1187.015,14070.25,1.99093333333333,NA
"187","Carex rostrata",0.5,245.88,76.815,1182.5,1.18026666666667,NA
"188","Carex spicata",0.275,249.633333333333,16.29,324.333333333333,2.38878,NA
"189","Carex strigosa",0.625,160.94,76.005,2395.875,0.5492,NA
"190","Carex sylvatica",0.425,324,29.75434925,677,1.66395384615385,NA
"191","Carex vesicaria",0.55,320.11,99.85,1222,1.39118888888889,NA
"192","Carlina acaulis",0.31,183.38,391.485,4001.14,4.08333333333333,NA
"193","Carpinus betulus",17.875,258.685,62.93,2268.52,41.8153142857143,NA
"194","Carthamus lanatus",NA,NA,NA,NA,10.391756755,NA
"195","Carthamus tinctorius",0.8275,145.99,136.45,1930.5,26.152,NA
"196","Castanea sativa",30,265.333333333333,NA,7259.43333333333,2891.92080466667,NA
"197","Celosia argentea",0.4,NA,NA,NA,NA,NA
"198","Celtis australis",NA,NA,NA,NA,186.75,NA
"199","Centaurea calcitrapa",0.35,165.83,73.14,1669,2.3032,NA
"200","Centaurea jacea",0.85,219.59,NA,NA,1.98996,NA
"201","Centaurea nigra",0.425,154.333333333333,132.657338776667,3440,2.49422857142857,NA
"202","Centaurea nigrescens",0.6,NA,NA,NA,1.47,NA
"203","Centaurea solstitialis",0.64,183.82,36.115,961.25,1.682,NA
"204","Centaurium erythraea",0.14125,259.833333333333,11.9113359736667,251.5,0.0127692307692308,NA
"205","Centaurium pulchellum",0.0633333333333333,184.38,0.25,16.83,0.0128111111111111,NA
"206","Centaurium tenuiflorum",0.1625,NA,NA,NA,0.0141333333333333,NA
"207","Centranthus ruber",0.433333333333333,138.41,130.3674311,3105.625,2.0025,NA
"208","Cephalanthera damasonium",0.35,166.065,55.2666666666667,1607.25,0.005,NA
"209","Cephalanthera longifolia",0.2275,185.116666666667,50.7925,1770.34333333333,NA,NA
"210","Cephalanthera rubra",0.25,NA,NA,NA,NA,NA
"211","Cerastium arvense",0.111666666666667,194.46,1.19,NA,0.1776,NA
"212","Cerastium brachypetalum",NA,NA,NA,NA,0.05874,NA
"213","Cerastium fontanum",0.11,130.25,7.776427511,182.59075,0.144,NA
"214","Cerastium glomeratum",0.145,155.235,6.92513087175,176.666666666667,0.053294,NA
"215","Cerastium latifolium",0.065,NA,NA,NA,0.593333333333333,NA
"216","Cerastium pumilum",0.045,120.28,0.755,21.25,0.0662,NA
"217","Cerastium semidecandrum",0.06,184.333333333333,1.641782751,32,0.0369536363636364,NA
"218","Ceratophyllum demersum",NA,128.75,2.983997963,119.133333333333,NA,NA
"219","Chaerophyllum bulbosum",0.85,264.21,477.82,7812.23,2.13333333333333,NA
"220","Chaerophyllum temulum",0.491666666666667,249,783.1828877,20341,2.73757894736842,NA
"221","Chelidonium majus",0.466666666666667,186.5,240.14783215,9226,0.74,NA
"222","Chenopodium album",0.483333333333333,164.333333333333,148.549258353333,2390,0.647,NA
"223","Chenopodium vulvaria",0.225,NA,NA,NA,0.509714285714286,NA
"224","Chondrilla juncea",0.5,216.62,23.615,301.25,0.671,NA
"225","Cichorium intybus",0.625,136,556.1217391,17537,1.77817333333333,NA
"226","Circaea lutetiana",0.308333333333333,193.5,69.448388015,2643,1.79549090909091,NA
"227","Cirsium arvense",0.8625,141.656666666667,190.5354895,3857.5,1.24554444444444,NA
"228","Cirsium vulgare",0.9,140.718,772.965,11035.5,2.477741666625,NA
"229","Cistus monspeliensis",NA,NA,NA,NA,0.955,NA
"230","Cladium mariscus",1.4,395.48,158.13,NA,2.2378971428,NA
"231","Clematis flammula",NA,289.28,NA,NA,NA,NA
"232","Clematis vitalba",20,238,181.9306757,5633,2.61067654318519,NA
"233","Clematis viticella",3,214.46,189,1557,NA,NA
"234","Clinopodium vulgare",0.375,258,44.77825051,1055,0.425483333333333,NA
"235","Conium maculatum",2.075,213.55,1656.91385666667,54419.815,2.3524,NA
"236","Consolida orientalis",0.35,NA,NA,NA,NA,NA
"237","Consolida regalis",0.225,151.265,16.63,395.68,0.938666666666667,NA
"238","Convolvulus arvensis",0.2626,172.5,40.729062745,1124.75,12.4924,NA
"239","Coriandrum sativum",0.46,139.535,24.0275,1166.75,10.3166666666667,NA
"240","Cornus mas",3.5,216.955,63.4175,1884.57,487.533333333333,NA
"241","Cornus sanguinea",2.375,255,NA,1009.23333333333,79.5914,NA
"242","Corylus avellana",2.83333333333333,283.75,NA,3249.14,805.65,NA
"243","Cotinus coggygria",2,NA,NA,NA,7.96,NA
"244","Cotoneaster salicifolius",5,NA,NA,NA,NA,NA
"245","Crassula tillaea",0.0233333333333333,NA,NA,NA,0.01028,NA
"246","Crataegus laevigata",6,349.89,37.4375,730,275.9989,NA
"247","Crataegus monogyna",4.885,336.142857142857,NA,491.14,167.573325,NA
"248","Crepis biennis",0.575,132.5,189.01499035,6087.5,1.3082,NA
"249","Crepis capillaris",0.275,125.666666666667,51.79898105,1585.66666666667,0.215039166666667,NA
"250","Crepis pulchra",0.35,NA,NA,NA,0.384,NA
"251","Crepis sancta",NA,128,NA,NA,NA,NA
"252","Crepis setosa",0.225,NA,NA,NA,NA,NA
"253","Crepis vesicaria",0.41,167.22,61.2733333333333,1080.5,0.38537,NA
"254","Crithmum maritimum",0.225,92,24.76510501,268,2.10536666666667,NA
"255","Cruciata glabra",0.2,NA,NA,NA,1.43,NA
"256","Cruciata laevipes",0.283333333333333,232.666666666667,2.96324171733333,89.6666666666667,4.4628,NA
"257","Cuscuta epithymum",0.5,NA,NA,NA,0.306166666666667,NA
"258","Cydonia oblonga",4.05,NA,NA,NA,NA,NA
"259","Cymbalaria muralis",0.25,85,29.256895065,875.5,0.123,NA
"260","Cynodon dactylon",0.11,224.17,4.89666666666667,116.25,0.13925,NA
"261","Cynosurus cristatus",0.546666666666667,247.163333333333,11.5967224085,347.333333333333,0.547476923076923,NA
"262","Cynosurus echinatus",0.35,NA,NA,NA,1.3948,NA
"263","Cyperus eragrostis",NA,NA,NA,NA,0.093,NA
"264","Cyperus longus",0.56,241.33,55.57,1247,0.063,NA
"265","Cyperus michelianus",0.06,NA,NA,NA,0.024,NA
"266","Cytisus scoparius",1.05,200,NA,19.6,7.39733333333333,NA
"267","Cytisus villosus",NA,NA,NA,NA,6.86,NA
"268","Dactylis glomerata",0.454,262.5,49.902292548,1449,0.9114225,NA
"269","Dactylorhiza maculata",NA,119.77,54.205,1361,NA,NA
"270","Danthonia decumbens",0.1,338.635,14.61016854,378,1.4583,NA
"271","Daphne laureola",0.725,276.41,161.84,1518.5,103.4,NA
"272","Daphne mezereum",0.7625,186.5,24.1,340.9,43.9,NA
"273","Datura stramonium",1.375,132.235,667.1875,14739.875,9.03373333333333,NA
"274","Daucus carota",0.393,232.045,12.84,NA,1.1628814516129,NA
"275","Deschampsia cespitosa",0.4325,337.294,32.495170197619,342.333958333333,0.211112280710526,NA
"276","Deschampsia flexuosa",0.075,329.55,2.9155,40.575,0.311700900891892,NA
"277","Dianthus carthusianorum",0.26,NA,NA,NA,1.02733333333333,NA
"278","Dianthus sylvestris",0.075,NA,NA,NA,0.452,NA
"279","Digitalis lutea",0.3,171.68,162.49,3647,0.1,NA
"280","Digitaria ischaemum",0.16,165.18,7.37666666666667,109.875,0.748,NA
"281","Digitaria sanguinalis",0.19,170.2,8.625,290.25,0.97,NA
"282","Diplotaxis erucoides",NA,124.58,NA,NA,NA,NA
"283","Diplotaxis muralis",0.17,139.775,33.93,710.5,0.209333333333333,NA
"284","Diplotaxis tenuifolia",0.35,113,113.47877698,2296,0.2836,NA
"285","Diplotaxis viminea",0.065,NA,NA,NA,NA,NA
"286","Dipsacus fullonum",0.9,167,1118.242889,23937,2.70928571428571,NA
"287","Draba muralis",0.111666666666667,171.5,10.451767032,279,0.053991666625,NA
"288","Drosera intermedia",0.035,176.435,0.84,22.04,0.0288,NA
"289","Drosera rotundifolia",0.0825,134.865,2.17,86.75,0.0176076923076923,NA
"290","Dryopteris affinis",1.3,233.555,2172.015,54489.25,NA,NA
"291","Dryopteris dilatata",0.6,277,1949.97279,46655,NA,NA
"292","Dryopteris filix-mas",0.75,295,3953.16974,95617,NA,NA
"293","Echinochloa crus-galli",0.575,189.795,76.90086949,2264.625,2.33476923076923,NA
"294","Echium plantagineum",0.3,NA,NA,NA,2.96782,NA
"295","Echium vulgare",0.433333333333333,142,282.5035784,4523,2.959325,NA
"296","Eleocharis multicaulis",0.3,282.55,22.72,172.5,0.5912,NA
"297","Eleocharis palustris",0.525,217.76,NA,NA,1.01186666666667,NA
"298","Eleusine indica",0.1,222.53,11.83,288.25,0.456,NA
"299","Elodea canadensis",NA,272.4,0.572653061,22,NA,NA
"300","Elymus farctus",NA,288.71,36.9,225.5,12.7102777777778,NA
"301","Elymus pungens",NA,NA,NA,NA,4.8364,NA
"302","Elymus repens",0.75,273.0475,85.637022682,2361.66666666667,2.37525,NA
"303","Epilobium hirsutum",1.03333333333333,208,130.14080997,2833,0.127777777777778,NA
"304","Epilobium lanceolatum",0.35,NA,NA,NA,0.09345,NA
"305","Epilobium montanum",0.35,229.333333333333,91.7561712033333,2187,0.1267,NA
"306","Epilobium parviflorum",0.433333333333333,160.333333333333,24.9194993,779,0.079411111,NA
"307","Epilobium tetragonum",0.441666666666667,NA,NA,NA,0.09521,NA
"308","Epipactis helleborine",NA,204.173333333333,95.035,2582.83333333333,0.004,NA
"309","Epipactis microphylla",0.1,NA,NA,NA,NA,NA
"310","Epipactis palustris",0.275,184.665,49.67,1466,NA,NA
"311","Equisetum arvense",0.325,237.805,178.645,167,NA,NA
"312","Equisetum palustre",0.3,201.8,14.55,NA,NA,NA
"313","Equisetum ramosissimum",0.9,NA,NA,NA,NA,NA
"314","Equisetum telmateia",1.25,118.93,3,50.33,NA,NA
"315","Eragrostis cilianensis",0.15,NA,NA,NA,NA,NA
"316","Eragrostis minor",0.125,237.126666666667,3.015,118.09,0.092,NA
"317","Erica arborea",NA,NA,NA,NA,0.03,NA
"318","Erica scoparia",NA,NA,NA,NA,0.02,NA
"319","Erigeron annuus",0.7875,200.74,41.91,859,NA,NA
"320","Erigeron karvinskianus",NA,NA,NA,NA,0.049818182,NA
"321","Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,1.40968571428571,NA
"322","Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548,NA
"323","Erophila verna",0.03,166.13,0.26,NA,0.02561,NA
"324","Eryngium campestre",0.28125,236.3075,3445.1425,32000.42,1.37167142857143,NA
"325","Eryngium maritimum",0.308333333333333,136.15,707.8625,6625.63,24.7152,NA
"326","Eschscholzia californica",0.35,NA,NA,NA,1.745,NA
"327","Euonymus europaeus",3.41666666666667,243.5,NA,1181.5,52.1392,NA
"328","Eupatorium cannabinum",1,202,284.17470285,6438.5,0.32999,NA
"329","Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776,NA
"330","Euphorbia cyparissias",0.175,NA,NA,NA,1.9624,NA
"331","Euphorbia dulcis",0.3,238.54,12.26,420,2.121,NA
"332","Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667,NA
"333","Euphorbia exigua",0.118333333333333,213,1.073333333,28,0.3035,NA
"334","Euphorbia helioscopia",0.2,196.666666666667,12.8750590443333,457,2.44,NA
"335","Euphorbia maculata",NA,NA,NA,NA,0.068,NA
"336","Euphorbia palustris",0.975,323.76,29.88,616,9.4425,NA
"337","Euphorbia paralias",0.25,NA,NA,NA,NA,NA
"338","Euphorbia peplus",0.166666666666667,177,1.765363128,79,0.4935,NA
"339","Euphorbia platyphyllos",0.35,NA,NA,NA,2.4516,NA
"340","Fagopyrum esculentum",0.375,NA,NA,NA,NA,NA
"341","Fagus sylvatica",32.1875,309.25,NA,2027.675,177.0824,NA
"342","Fallopia convolvulus",0.6875,200,44.2627872366667,602.666666666667,4.038,NA
"343","Fallopia dumetorum",1.875,214.703333333333,85.6,1530.47666666667,3.3956,NA
"344","Festuca arundinacea",0.6,234,217.26654915,4002.5,2.04858333333333,NA
"345","Festuca heterophylla",0.275,NA,NA,NA,1.322,NA
"346","Festuca pratensis",0.55,265.255,24.92950873,527.5,1.94775,NA
"347","Filago pyramidata",0.1475,280.13,0.91,32.625,0.0505633333333333,NA
"348","Filipendula vulgaris",0.325,295,141.8009479,3520,0.786672727272727,NA
"349","Foeniculum vulgare",1.7875,234.5,1062.4,9445,2.70466666666667,NA
"350","Fragaria vesca",0.108333333333333,388,132.86116195,2393.5,19.8767266666667,NA
"351","Frangula alnus",3.85714285714286,256,78.8,964.55,125.929142857143,NA
"352","Fraxinus excelsior",26.1428571428571,256.5,NA,1426.54,58.4213475,NA
"353","Fraxinus ornus",6.5,NA,NA,NA,65.1,NA
"354","Fumaria bastardii",1,NA,NA,NA,2.5258,NA
"355","Fumaria capreolata",0.825,NA,NA,NA,3.6716,NA
"356","Fumaria officinalis",0.6,133,7.147196262,266,3.09202857142857,NA
"357","Galanthus nivalis",0.14,102.88,46.75,1403.5,6.392,NA
"358","Galega officinalis",0.9,127.73,217.7675,8986,8.13991111111111,NA
