"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1340",613,"Nigella arvensis",NA,"Nigella",2,"Nigella arvensis","L.","Nigella",2,"kew-2381639",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Nigella arvensis",NA
"904",614,"Galium aparine",NA,"Galium",2,"Galium aparine","L.","Galium",2,"kew-85676",1,FALSE,0.8,0,NA,NA,NA,NA,"Rubiaceae",NA,"Galium aparine",NA
"205",621,"Arrhenatherum elatius",NA,"Arrhenatherum",2,"Arrhenatherum elatius","(L.) P.Beauv. ex J.Presl & C.Presl.","Arrhenatherum",2,"kew-395388",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Arrhenatherum elatius",NA
"293",626,"Brachypodium sylvaticum",NA,"Brachypodium",2,"Brachypodium sylvaticum","(Huds.) P.Beauv.","Brachypodium",2,"kew-400100",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Brachypodium sylvaticum",NA
"172",628,"Anthyllis vulneraria",NA,"Anthyllis",2,"Anthyllis vulneraria","L.","Anthyllis",2,"ild-7194",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Anthyllis vulneraria",NA
"1197",633,"Lolium multiflorum",NA,"Lolium",2,"Lolium multiflorum","Lam.","Lolium",2,"kew-422833",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Lolium multiflorum",NA
"48",640,"Ajuga chamaepitys",NA,"Ajuga",2,"Ajuga chamaepitys","(L.) Schreb.","Ajuga",2,"kew-5197",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Ajuga chamaepitys",NA
"954",641,"Geum urbanum",NA,"Geum",2,"Geum urbanum","A.Gray","Geum",2,"rjp-33447",1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Geum urbanum","Multiple results"
"393",646,"Carex divulsa",NA,"Carex",2,"Carex divulsa","Stokes","Carex",2,"kew-226143",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex divulsa",NA
"1481",651,"Phalaris arundinacea",NA,"Phalaris",2,"Phalaris arundinacea","L.","Phalaris",2,"kew-433393",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Phalaris arundinacea",NA
