"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Acer campestre",13.4214285714286,360.5,184.2079463,NA,54.3482823529412,"Acer"
"Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333,"Achillea"
"Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333,"Aegopodium"
"Aethusa cynapium",NA,NA,118.208577966,3207.7575,1.69492,"Aethusa"
"Agrimonia eupatoria",0.333333333333333,339.5,NA,8461,14.178,"Agrimonia"
"Agrostemma githago",0.66,204.54,57.225,999.75,14.554875,"Agrostemma"
"Agrostis canina",0.3,281.985,1.950036232,NA,0.0554857142857143,"Agrostis"
"Aira caryophyllea",0.11,279.666666666667,NA,NA,0.108,"Aira"
"Ajuga chamaepitys",0.0916666666666667,157.93,NA,70.5,1.215,"Ajuga"
"Ajuga reptans",0.161666666666667,NA,17.36967841,556,1.46519,"Ajuga"
"Alcea rosea",NA,NA,615,8249,8.94266666666667,"Alcea"
"Alisma lanceolatum",0.275,NA,64.3655555555556,1774.8,0.3843,"Alisma"
"Alisma plantago-aquatica",NA,NA,516.259252275,11979.4166666667,0.382625,"Alisma"
"Alliaria petiolata",0.45,161.333333333333,NA,7514,2.348,"Alliaria"
"Allium carinatum",NA,NA,44,1280,1.2937777775,"Allium"
"Allium sphaerocephalon",0.225,NA,342.43,1940.63,NA,"Allium"
"Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948,"Allium"
"Allium vineale",0.25,NA,101.166029705,1195,7.504,"Allium"
"Alopecurus myosuroides",NA,272,21.48647482,547,2.15047619042857,"Alopecurus"
"Alopecurus pratensis",0.45,308.06,43.430614195,1088.125,0.658,"Alopecurus"
"Althaea officinalis",0.71625,205.345,NA,NA,NA,"Althaea"
"Amaranthus caudatus",0.715,174.74,200.505,4117.22,NA,"Amaranthus"
"Amaranthus retroflexus",0.451666666666667,NA,NA,3602.75,0.462666666666667,"Amaranthus"
"Ammi majus",0.395,NA,NA,77.6666666666667,0.615166666666667,"Ammi"
"Anemone nemorosa",NA,NA,123.871023095,3003,2.1444,"Anemone"
"Angelica sylvestris",NA,220,1531.2,40902,2.42144444444444,"Angelica"
"Anthemis arvensis",NA,139.99,NA,373.645,0.7576725,"Anthemis"
"Anthemis cotula",0.285,107,6.168481375,138,0.4542,"Anthemis"
"Anthericum liliago",0.3,162.63,NA,3337.25,NA,"Anthericum"
"Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,NA,"Anthriscus"
"Anthyllis vulneraria",NA,NA,63.29470563,1007,3.25339166666667,"Anthyllis"
"Antirrhinum majus",0.425,165,26.46061644,303,0.1156,"Antirrhinum"
"Aphanes arvensis",0.085,NA,NA,38,NA,"Aphanes"
"Arabidopsis thaliana",NA,NA,9.642721352,281,0.02088,"Arabidopsis"
"Arabis hirsuta",NA,166,15.75671642,374,0.0979076923076923,"Arabis"
"Arabis sagittata",0.425,143.525,15.8725,NA,0.1,"Arabis"
"Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328,"Arctium"
"Arctium minus",NA,177.333333333333,4104.936905,NA,12.0397523809524,"Arctium"
"Arenaria serpyllifolia",0.165,NA,0.654718250666667,13.1833333333333,0.0671106060454545,"Arenaria"
"Aristolochia clematitis",0.4,272.3,509.85,8534.625,32.43675,"Aristolochia"
"Arrhenatherum elatius",NA,291.316666666667,30.654063375,1223,3.07949333333333,"Arrhenatherum"
"Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778,"Artemisia"
"Artemisia annua",0.95,NA,30.1675,639.692833333333,0.03,"Artemisia"
"Artemisia vulgaris",NA,258,NA,3914.42633333333,NA,"Artemisia"
"Arum maculatum",0.2425,117.666666666667,NA,10496.6666666667,72.6432533333333,"Arum"
"Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667,"Asparagus"
"Astragalus glycyphyllos",0.575,272.5,115.581532135,NA,5.15003333333333,"Astragalus"
"Atriplex prostrata",0.95,144.333333333333,139.77941404,NA,2.15622,"Atriplex"
"Avena barbata",0.18,NA,NA,119,7.92272095242857,"Avena"
"Avena fatua",0.75,NA,320.3024483,5227.5,22.1845,"Avena"
"Avena sterilis",0.27,NA,17.32,NA,59.232,"Avena"
"Avena strigosa",1.54,201.94,69.965,1978,7.44866666666667,"Avena"
"Baldellia ranunculoides",0.125,NA,19.6,427,0.426933333333333,"Baldellia"
"Ballota nigra",0.625,222,38.35214076,717,0.85785,"Ballota"
"Barbarea vulgaris",NA,174,150.325324805,NA,0.606666666666667,"Barbarea"
"Bellis perennis",NA,NA,11.62723288,NA,0.14152,"Bellis"
"Berula erecta",NA,NA,160.63352494,3582.875,NA,"Berula"
"Beta vulgaris",NA,167,751.7,18496,20.4113590243902,"Beta"
"Bidens frondosa",0.525,NA,110.41,4176,8.66097142857143,"Bidens"
"Bidens tripartita",0.525,152.16,74.7110556533333,2417.08333333333,2.43494,"Bidens"
"Blackstonia perfoliata",NA,223.065,NA,NA,0.009,"Blackstonia"
"Borago officinalis",NA,144.74,154.525,NA,15.766,"Borago"
"Brachypodium sylvaticum",0.825,NA,20.4262208941667,3886.54545454545,NA,"Brachypodium"
"Brassica nigra",0.735,NA,252.94,6916.8,1.32608571428571,"Brassica"
"Brassica rapa",0.598333333333333,NA,NA,3315.66666666667,2.1388,"Brassica"
"Briza media",NA,298.035,26.9652498225,NA,0.40112222225,"Briza"
"Bromus arvensis",0.332,NA,40.63,1085,2.62566666666667,"Bromus"
"Bromus commutatus",0.5,NA,NA,920.875,5.2019,"Bromus"
"Bromus madritensis",NA,165.83,NA,156.416666666667,2.56333333333333,"Bromus"
"Bromus sterilis",0.375,230.75,15.2497606843333,NA,7.4854,"Bromus"
"Buddleja davidii",1.83333333333333,NA,77.285,2971.25,NA,"Buddleja"
"Butomus umbellatus",NA,120.313333333333,NA,5805.83333333333,NA,"Butomus"
"Cakile maritima",NA,88.6266666666667,74.94,885.75,NA,"Cakile"
"Calamagrostis epigejos",1,400.033333333333,258.194429533333,4994.5,0.0797333334,"Calamagrostis"
"Calendula arvensis",NA,NA,40.83,948,3.585,"Calendula"
"Callitriche palustris",NA,NA,0.595,58.125,NA,"Callitriche"
"Calystegia sepium",1.2875,NA,NA,3208,30.272,"Calystegia"
"Calystegia silvatica",2,224,133.9542354,3092,NA,"Calystegia"
"Campanula rapunculus",NA,162.5,12.06,617.5,0.0333333333333333,"Campanula"
"Campanula trachelium",0.6,159,92.24660086,3601,0.231155555555556,"Campanula"
"Cannabis sativa",NA,238.99,193.23,4865.875,6.4,"Cannabis"
"Capsella bursa-pastoris",0.126666666666667,NA,60.8887573225,1842.66666666667,0.0985154545454545,"Capsella"
"Cardamine amara",NA,NA,48.7516437433333,NA,0.258,"Cardamine"
"Cardamine bulbifera",0.3975,149.565,NA,2207,2.7,"Cardamine"
"Cardamine flexuosa",0.216666666666667,NA,12.33047046,NA,0.122355555555556,"Cardamine"
"Cardamine heptaphylla",0.375,137.07,700,NA,NA,"Cardamine"
"Cardamine hirsuta",NA,126,11.217289988,337,0.1076,"Cardamine"
"Cardamine impatiens",0.358333333333333,311,7.080032733,239,NA,"Cardamine"
"Cardamine parviflora",0.125,164.27,NA,75.575,NA,"Cardamine"
"Carduus nutans",NA,127.666666666667,286.832203133333,NA,3.23571428571429,"Carduus"
"Carex acuta",0.9,331.79,132.83,NA,NA,"Carex"
"Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667,"Carex"
"Carex caryophyllea",0.09,NA,16.593646155,NA,1.2992,"Carex"
"Carex digitata",0.1,NA,15.652912825,NA,1.445,"Carex"
"Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286,"Carex"
"Carex divulsa",0.275,105,42.36,1403.7,1.57537142857143,"Carex"
"Carex echinata",0.25,365.5,NA,218,NA,"Carex"
"Carex elata",0.9,344.07,280.38,2693.25,0.75559,"Carex"
"Carex extensa",0.135,320.49,11.52,NA,NA,"Carex"
"Carex flacca",0.275,NA,34.84894372,NA,1.01511818181818,"Carex"
"Carex hirta",0.45,291.2125,74.826634202,NA,2.8165,"Carex"
"Carex pallescens",0.325,NA,14.635,NA,1.25258333333333,"Carex"
